"","category","over_represented_pvalue","term","ontology"
"11505","GO:0045321",2.9832621449289e-09,"leukocyte activation","BP"
"911","GO:0002274",3.09974748497403e-09,"myeloid leukocyte activation","BP"
"3800","GO:0008217",3.16085402260455e-09,"regulation of blood pressure","BP"
"4392","GO:0009719",3.34171364666286e-09,"response to endogenous stimulus","BP"
"18940","GO:1902600",3.53107075645495e-09,"proton transmembrane transport","BP"
"4522","GO:0010243",3.76318628978326e-09,"response to organonitrogen compound","BP"
"19248","GO:1903305",3.99910304776299e-09,"regulation of regulated secretory pathway","BP"
"13009","GO:0050865",4.29235334957839e-09,"regulation of cell activation","BP"
"6495","GO:0019935",4.39674217874744e-09,"cyclic-nucleotide-mediated signaling","BP"
"1202","GO:0002790",4.92161012387685e-09,"peptide secretion","BP"
"18562","GO:1901606",4.99625355256576e-09,"alpha-amino acid catabolic process","BP"
"13592","GO:0051924",5.22496275366052e-09,"regulation of calcium ion transport","BP"
"19494","GO:1903779",6.83792666855923e-09,"regulation of cardiac conduction","BP"
"9217","GO:0034767",7.10141286959518e-09,"positive regulation of ion transmembrane transport","BP"
"11952","GO:0046394",7.15729979069719e-09,"carboxylic acid biosynthetic process","BP"
"12613","GO:0048583",7.40079941191053e-09,"regulation of response to stimulus","BP"
"3548","GO:0007275",7.675527919444e-09,"multicellular organism development","BP"
"6923","GO:0030072",7.93450776268485e-09,"peptide hormone secretion","BP"
"2818","GO:0006119",8.09470569182425e-09,"oxidative phosphorylation","BP"
"12925","GO:0050727",8.75184545790453e-09,"regulation of inflammatory response","BP"
"5484","GO:0016053",9.01638888734154e-09,"organic acid biosynthetic process","BP"
"18618","GO:1901701",9.18959790488815e-09,"cellular response to oxygen-containing compound","BP"
"13425","GO:0051588",1.10694211741853e-08,"regulation of neurotransmitter transport","BP"
"14280","GO:0060627",1.21264625101614e-08,"regulation of vesicle-mediated transport","BP"
"8188","GO:0032502",1.24882058314692e-08,"developmental process","BP"
"12179","GO:0046883",1.25825558867563e-08,"regulation of hormone secretion","BP"
"17630","GO:0099504",1.27408647145154e-08,"synaptic vesicle cycle","BP"
"14936","GO:0065009",1.28263271453742e-08,"regulation of molecular function","BP"
"3462","GO:0007155",1.61676269047328e-08,"cell adhesion","BP"
"3650","GO:0007599",1.82819380419251e-08,"hemostasis","BP"
"13241","GO:0051241",1.92775036666409e-08,"negative regulation of multicellular organismal process","BP"
"4484","GO:0010038",2.17225853622448e-08,"response to metal ion","BP"
"3801","GO:0008219",2.1898198581948e-08,"cell death","BP"
"6821","GO:0022610",2.2163837821207e-08,"biological adhesion","BP"
"9214","GO:0034764",2.2194279547972e-08,"positive regulation of transmembrane transport","BP"
"8981","GO:0034341",2.240625741807e-08,"response to interferon-gamma","BP"
"11812","GO:0046034",2.44224475924867e-08,"ATP metabolic process","BP"
"19653","GO:1904064",2.50753686414455e-08,"positive regulation of cation transmembrane transport","BP"
"6860","GO:0022904",2.88630534484629e-08,"respiratory electron transport chain","BP"
"12204","GO:0046928",3.19201582838568e-08,"regulation of neurotransmitter secretion","BP"
"1011","GO:0002443",3.3117306332855e-08,"leukocyte mediated immunity","BP"
"912","GO:0002275",3.78638572454854e-08,"myeloid cell activation involved in immune response","BP"
"4128","GO:0009063",3.96783657283411e-08,"cellular amino acid catabolic process","BP"
"15283","GO:0070588",4.27292320544424e-08,"calcium ion transmembrane transport","BP"
"16682","GO:0090257",4.34589513228409e-08,"regulation of muscle system process","BP"
"15872","GO:0071692",4.46872264830911e-08,"protein localization to extracellular region","BP"
"3659","GO:0007611",4.50974487589438e-08,"learning or memory","BP"
"4130","GO:0009065",4.51850788007182e-08,"glutamine family amino acid catabolic process","BP"
"966","GO:0002366",4.75926630191592e-08,"leukocyte activation involved in immune response","BP"
"1012","GO:0002444",4.77779117156359e-08,"myeloid leukocyte mediated immunity","BP"
"904","GO:0002263",4.79492814250544e-08,"cell activation involved in immune response","BP"
"13594","GO:0051928",4.8211056206205e-08,"positive regulation of calcium ion transport","BP"
"6978","GO:0030168",4.87376960807611e-08,"platelet activation","BP"
"13034","GO:0050900",5.14741441290305e-08,"leukocyte migration","BP"
"10799","GO:0043299",5.38021619676488e-08,"leukocyte degranulation","BP"
"5383","GO:0015849",5.56206757434695e-08,"organic acid transport","BP"
"4881","GO:0010941",5.59008853130951e-08,"regulation of cell death","BP"
"12213","GO:0046942",5.63619570495496e-08,"carboxylic acid transport","BP"
"9492","GO:0035556",5.65752374903119e-08,"intracellular signal transduction","BP"
"3647","GO:0007596",6.04707469744799e-08,"blood coagulation","BP"
"3660","GO:0007612",6.43485802410443e-08,"learning","BP"
"4299","GO:0009306",6.56289112071369e-08,"protein secretion","BP"
"9517","GO:0035592",6.56289112071369e-08,"establishment of protein localization to extracellular region","BP"
"1309","GO:0003018",7.29840498457503e-08,"vascular process in circulatory system","BP"
"13611","GO:0051952",8.00646844632031e-08,"regulation of amine transport","BP"
"6966","GO:0030154",8.7226264333528e-08,"cell differentiation","BP"
"12980","GO:0050817",9.21190470907974e-08,"coagulation","BP"
"13027","GO:0050890",9.48204151713349e-08,"cognition","BP"
"6875","GO:0023056",9.57315390145279e-08,"positive regulation of signaling","BP"
"17169","GO:0097553",1.05453008665602e-07,"calcium ion transmembrane import into cytosol","BP"
"5377","GO:0015837",1.06271925063792e-07,"amine transport","BP"
"3473","GO:0007166",1.07643451953058e-07,"cell surface receptor signaling pathway","BP"
"10221","GO:0042127",1.11061616888005e-07,"regulation of cell population proliferation","BP"
"4925","GO:0012501",1.14735665199094e-07,"programmed cell death","BP"
"6396","GO:0019722",1.17416288271793e-07,"calcium-mediated signaling","BP"
"5475","GO:0016042",1.22950383818121e-07,"lipid catabolic process","BP"
"450","GO:0001525",1.3405792691275e-07,"angiogenesis","BP"
"4373","GO:0009636",1.34228124639015e-07,"response to toxic substance","BP"
"3307","GO:0006869",1.3527403544675e-07,"lipid transport","BP"
"16334","GO:0072593",1.43750738830733e-07,"reactive oxygen species metabolic process","BP"
"6924","GO:0030073",1.65102830180938e-07,"insulin secretion","BP"
"11708","GO:0045834",1.86761457227731e-07,"positive regulation of lipid metabolic process","BP"
"7929","GO:0032101",1.9072518764829e-07,"regulation of response to external stimulus","BP"
"5452","GO:0015980",1.90825343004164e-07,"energy derivation by oxidation of organic compounds","BP"
"1203","GO:0002791",2.01119404508017e-07,"regulation of peptide secretion","BP"
"12767","GO:0048871",2.06582241783588e-07,"multicellular organismal homeostasis","BP"
"17017","GO:0097237",2.24522017404246e-07,"cellular response to toxic substance","BP"
"4827","GO:0010876",2.2617045146209e-07,"lipid localization","BP"
"477","GO:0001568",2.41585100432794e-07,"blood vessel development","BP"
"4670","GO:0010647",2.43520419484216e-07,"positive regulation of cell communication","BP"
"6031","GO:0017156",2.48254849080152e-07,"calcium-ion regulated exocytosis","BP"
"13810","GO:0055067",2.50322202664928e-07,"monovalent inorganic cation homeostasis","BP"
"14141","GO:0060402",2.60220578909635e-07,"calcium ion transport into cytosol","BP"
"18476","GO:1901342",2.60857570785018e-07,"regulation of vasculature development","BP"
"3852","GO:0008306",2.64388394066654e-07,"associative learning","BP"
"2833","GO:0006163",2.71656362304137e-07,"purine nucleotide metabolic process","BP"
"2721","GO:0005975",2.87687435285263e-07,"carbohydrate metabolic process","BP"
"3112","GO:0006575",3.18498741216771e-07,"cellular modified amino acid metabolic process","BP"
"13126","GO:0051047",3.53953141103305e-07,"positive regulation of secretion","BP"
"7714","GO:0031644",3.69617820522285e-07,"regulation of nervous system process","BP"
"14895","GO:0062013",3.78177205105533e-07,"positive regulation of small molecule metabolic process","BP"
"4129","GO:0009064",4.37852800214361e-07,"glutamine family amino acid metabolic process","BP"
"6493","GO:0019933",4.43177933348605e-07,"cAMP-mediated signaling","BP"
"3491","GO:0007188",4.49084661825299e-07,"adenylate cyclase-modulating G protein-coupled receptor signaling pathway","BP"
"12579","GO:0048514",4.8406780151421e-07,"blood vessel morphogenesis","BP"
"10534","GO:0042773",4.88367610105854e-07,"ATP synthesis coupled electron transport","BP"
"5350","GO:0015800",5.00178898257808e-07,"acidic amino acid transport","BP"
"13429","GO:0051592",5.15450320422776e-07,"response to calcium ion","BP"
"14140","GO:0060401",5.22290397251614e-07,"cytosolic calcium ion transport","BP"
"16595","GO:0090130",5.45849789763041e-07,"tissue migration","BP"
"707","GO:0001944",5.5665378581552e-07,"vasculature development","BP"
"12614","GO:0048584",5.85553992655771e-07,"positive regulation of response to stimulus","BP"
"13130","GO:0051051",6.29598635166975e-07,"negative regulation of transport","BP"
"16775","GO:0090407",6.5060044288338e-07,"organophosphate biosynthetic process","BP"
"12444","GO:0048168",7.10586989269529e-07,"regulation of neuronal synaptic plasticity","BP"
"20714","GO:1990573",7.21848484517674e-07,"potassium ion import across plasma membrane","BP"
"11510","GO:0045333",7.26488906895769e-07,"cellular respiration","BP"
"13922","GO:0060078",8.47936423225367e-07,"regulation of postsynaptic membrane potential","BP"
"10536","GO:0042775",9.82635823119997e-07,"mitochondrial ATP synthesis coupled electron transport","BP"
"3304","GO:0006865",9.94432009074701e-07,"amino acid transport","BP"
"4613","GO:0010562",9.9827735918972e-07,"positive regulation of phosphorus metabolic process","BP"
"11767","GO:0045937",9.9827735918972e-07,"positive regulation of phosphate metabolic process","BP"
"12765","GO:0048869",1.00142774685662e-06,"cellular developmental process","BP"
"17360","GO:0098754",1.08697976352197e-06,"detoxification","BP"
"3073","GO:0006536",1.24239625345892e-06,"glutamate metabolic process","BP"
"10665","GO:0043067",1.24611492926808e-06,"regulation of programmed cell death","BP"
"10943","GO:0043542",1.41206117461001e-06,"endothelial cell migration","BP"
"1146","GO:0002694",1.43295807519512e-06,"regulation of leukocyte activation","BP"
"8113","GO:0032411",1.43365311388805e-06,"positive regulation of transporter activity","BP"
"9305","GO:0035150",1.46133036410419e-06,"regulation of tube size","BP"
"9364","GO:0035296",1.46133036410419e-06,"regulation of tube diameter","BP"
"17235","GO:0097746",1.46133036410419e-06,"regulation of blood vessel diameter","BP"
"3492","GO:0007189",1.46578836646272e-06,"adenylate cyclase-activating G protein-coupled receptor signaling pathway","BP"
"3154","GO:0006631",1.54151247450764e-06,"fatty acid metabolic process","BP"
"12578","GO:0048513",1.60181495072627e-06,"animal organ development","BP"
"11004","GO:0043648",1.69454016302123e-06,"dicarboxylic acid metabolic process","BP"
"14076","GO:0060326",1.74014936668133e-06,"cell chemotaxis","BP"
"15695","GO:0071417",1.74028286017288e-06,"cellular response to organonitrogen compound","BP"
"13269","GO:0051282",1.78957338918717e-06,"regulation of sequestering of calcium ion","BP"
"21025","GO:2000300",1.86258246533793e-06,"regulation of synaptic vesicle exocytosis","BP"
"16698","GO:0090276",1.87333839149446e-06,"regulation of peptide hormone secretion","BP"
"18616","GO:1901699",1.89812057065043e-06,"cellular response to nitrogen compound","BP"
"3353","GO:0006937",1.90205839827427e-06,"regulation of muscle contraction","BP"
"15645","GO:0071346",1.98024652925795e-06,"cellular response to interferon-gamma","BP"
"13010","GO:0050866",2.00903011543312e-06,"negative regulation of cell activation","BP"
"2819","GO:0006120",2.01140800362322e-06,"mitochondrial electron transport, NADH to ubiquinone","BP"
"4460","GO:0009966",2.04294876776149e-06,"regulation of signal transduction","BP"
"8828","GO:0033993",2.08671490580263e-06,"response to lipid","BP"
"8116","GO:0032414",2.1137528406265e-06,"positive regulation of ion transmembrane transporter activity","BP"
"2742","GO:0006006",2.41186914604155e-06,"glucose metabolic process","BP"
"11673","GO:0045765",2.443007169334e-06,"regulation of angiogenesis","BP"
"7716","GO:0031646",2.56120618721794e-06,"positive regulation of nervous system process","BP"
"3341","GO:0006915",2.57084662980966e-06,"apoptotic process","BP"
"17328","GO:0098693",2.69000740085707e-06,"regulation of synaptic vesicle cycle","BP"
"4383","GO:0009653",2.72690724690867e-06,"anatomical structure morphogenesis","BP"
"4654","GO:0010631",2.8436789854111e-06,"epithelial cell migration","BP"
"16597","GO:0090132",2.8436789854111e-06,"epithelium migration","BP"
"7204","GO:0030595",2.87236499224347e-06,"leukocyte chemotaxis","BP"
"10371","GO:0042445",2.90732748797029e-06,"hormone metabolic process","BP"
"12647","GO:0048646",3.02725672459948e-06,"anatomical structure formation involved in morphogenesis","BP"
"9603","GO:0035725",3.0591521142654e-06,"sodium ion transmembrane transport","BP"
"11005","GO:0043649",3.14408703949511e-06,"dicarboxylic acid catabolic process","BP"
"8861","GO:0034097",3.31703958941873e-06,"response to cytokine","BP"
"10811","GO:0043312",3.31923097222281e-06,"neutrophil degranulation","BP"
"14081","GO:0060333",3.5702339099053e-06,"interferon-gamma-mediated signaling pathway","BP"
"15593","GO:0071248",3.58098907902128e-06,"cellular response to metal ion","BP"
"920","GO:0002283",3.85436718075242e-06,"neutrophil activation involved in immune response","BP"
"12846","GO:0050433",3.92074796130987e-06,"regulation of catecholamine secretion","BP"
"766","GO:0002027",4.40459759754891e-06,"regulation of heart rate","BP"
"9856","GO:0036230",4.4543592780978e-06,"granulocyte activation","BP"
"2733","GO:0005996",4.4793634430257e-06,"monosaccharide metabolic process","BP"
"18561","GO:1901605",4.49529100688673e-06,"alpha-amino acid metabolic process","BP"
"10607","GO:0042981",4.64451847173487e-06,"regulation of apoptotic process","BP"
"18368","GO:1901019",4.95898812574694e-06,"regulation of calcium ion transmembrane transporter activity","BP"
"13220","GO:0051208",5.42512057260225e-06,"sequestering of calcium ion","BP"
"16280","GO:0072521",5.59375535795844e-06,"purine-containing compound metabolic process","BP"
"1134","GO:0002682",5.79245360213545e-06,"regulation of immune system process","BP"
"12992","GO:0050848",5.84504449992893e-06,"regulation of calcium-mediated signaling","BP"
"17241","GO:0097755",5.99904917790534e-06,"positive regulation of blood vessel diameter","BP"
"14089","GO:0060341",6.01930726092441e-06,"regulation of cellular localization","BP"
"9363","GO:0035295",6.03880655945799e-06,"tube development","BP"
"20772","GO:1990748",6.11631044019455e-06,"cellular detoxification","BP"
"15156","GO:0070374",6.12216332745042e-06,"positive regulation of ERK1 and ERK2 cascade","BP"
"17427","GO:0098869",6.32257393552087e-06,"cellular oxidant detoxification","BP"
"2797","GO:0006094",6.36613248705625e-06,"gluconeogenesis","BP"
"10218","GO:0042119",6.54256340882685e-06,"neutrophil activation","BP"
"6406","GO:0019751",6.767742600976e-06,"polyol metabolic process","BP"
"4195","GO:0009150",6.98282958504777e-06,"purine ribonucleotide metabolic process","BP"
"13270","GO:0051283",7.02766747940659e-06,"negative regulation of sequestering of calcium ion","BP"
"12727","GO:0048791",7.43755126576011e-06,"calcium ion-regulated exocytosis of neurotransmitter","BP"
"19178","GO:1903169",7.66006640418533e-06,"regulation of calcium ion transmembrane transport","BP"
"3328","GO:0006897",7.74255104509157e-06,"endocytosis","BP"
"4963","GO:0014047",8.19195094932454e-06,"glutamate secretion","BP"
"12920","GO:0050708",8.23987056312478e-06,"regulation of protein secretion","BP"
"10311","GO:0042327",8.37772031078125e-06,"positive regulation of phosphorylation","BP"
"526","GO:0001667",8.93392503095978e-06,"ameboidal-type cell migration","BP"
"1014","GO:0002446",9.16662562042529e-06,"neutrophil mediated immunity","BP"
"19365","GO:1903532",9.44546270301595e-06,"positive regulation of secretion by cell","BP"
"11528","GO:0045444",9.53142628977204e-06,"fat cell differentiation","BP"
"4019","GO:0008610",9.95141205092207e-06,"lipid biosynthetic process","BP"
"12845","GO:0050432",1.02182904250471e-05,"catecholamine secretion","BP"
"1135","GO:0002683",1.04231863695579e-05,"negative regulation of immune system process","BP"
"8466","GO:0032944",1.04484852752922e-05,"regulation of mononuclear cell proliferation","BP"
"13153","GO:0051094",1.13917699131842e-05,"positive regulation of developmental process","BP"
"3658","GO:0007610",1.15338875241946e-05,"behavior","BP"
"1137","GO:0002685",1.28910880485939e-05,"regulation of leukocyte migration","BP"
"13221","GO:0051209",1.35454224568904e-05,"release of sequestered calcium ion into cytosol","BP"
"12078","GO:0046640",1.36327980107523e-05,"regulation of alpha-beta T cell proliferation","BP"
"10909","GO:0043500",1.39215987155491e-05,"muscle adaptation","BP"
"16571","GO:0090087",1.39456434110485e-05,"regulation of peptide transport","BP"
"8410","GO:0032870",1.42480903041939e-05,"cellular response to hormone stimulus","BP"
"15751","GO:0071495",1.44991276410999e-05,"cellular response to endogenous stimulus","BP"
"3262","GO:0006790",1.458943728305e-05,"sulfur compound metabolic process","BP"
"7685","GO:0031589",1.46138457612882e-05,"cell-substrate adhesion","BP"
"1083","GO:0002576",1.46965058239823e-05,"platelet degranulation","BP"
"21496","GO:2001259",1.50316420886631e-05,"positive regulation of cation channel activity","BP"
"5684","GO:0016477",1.54515871961124e-05,"cell migration","BP"
"5503","GO:0016082",1.58362667578682e-05,"synaptic vesicle priming","BP"
"5384","GO:0015850",1.61060013184804e-05,"organic hydroxy compound transport","BP"
"12965","GO:0050796",1.69584743572936e-05,"regulation of insulin secretion","BP"
"19815","GO:1904427",1.70307038288371e-05,"positive regulation of calcium ion transmembrane transport","BP"
