"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"17316","GO:0098662",6.59025818044615e-25,1,261,604,"inorganic cation transmembrane transport","BP"
"17659","GO:0099537",7.71835491659773e-25,1,268,635,"trans-synaptic signaling","BP"
"13032","GO:0050896",8.04505243008523e-25,1,1889,6538,"response to stimulus","BP"
"6853","GO:0022857",5.51118858540373e-24,1,319,792,"transmembrane transporter activity","MF"
"3272","GO:0006810",3.11262012038778e-23,1,1266,4142,"transport","BP"
"2352","GO:0005215",3.60829598856274e-23,1,353,907,"transporter activity","MF"
"14935","GO:0065008",5.19805785896084e-23,1,1009,3222,"regulation of biological quality","BP"
"8187","GO:0032501",6.22998286143312e-23,1,1597,5498,"multicellular organismal process","BP"
"11098","GO:0044057",8.23384464801922e-23,1,210,470,"regulation of system process","BP"
"6914","GO:0030054",5.20493599994215e-22,1,619,1850,"cell junction","CC"
"5229","GO:0015318",1.03481321492126e-21,1,253,610,"inorganic molecular entity transmembrane transporter activity","MF"
"3472","GO:0007165",1.22697467758392e-21,1,1304,4355,"signal transduction","BP"
"5109","GO:0015075",2.09105650149377e-21,1,268,658,"ion transmembrane transporter activity","MF"
"2515","GO:0005615",2.13824462553324e-21,1,740,2198,"extracellular space","CC"
"10260","GO:0042221",3.39017477308803e-21,1,1028,3293,"response to chemical","BP"
"10626","GO:0043005",3.99734386199686e-21,1,426,1193,"neuron projection","CC"
"7856","GO:0031982",5.20890268692102e-21,1,972,3070,"vesicle","CC"
"6857","GO:0022890",1.8452276525669e-20,1,194,442,"inorganic cation transmembrane transporter activity","MF"
"13235","GO:0051234",3.14821592907458e-20,1,1277,4250,"establishment of localization","BP"
"11459","GO:0045202",3.79576250914433e-20,1,437,1237,"synapse","CC"
"5291","GO:0015672",1.38851394568759e-19,1,190,428,"monovalent inorganic cation transport","BP"
"9215","GO:0034765",2.18182532129019e-19,1,172,384,"regulation of ion transmembrane transport","BP"
"3863","GO:0008324",2.61249566947021e-19,1,204,480,"cation transmembrane transporter activity","MF"
"3681","GO:0008015",3.19283427480869e-19,1,185,419,"blood circulation","BP"
"1304","GO:0003013",3.21707899941347e-19,1,191,437,"circulatory system process","BP"
"5110","GO:0015077",4.43139829710399e-19,1,137,281,"monovalent inorganic cation transmembrane transporter activity","MF"
"17629","GO:0099503",4.5768360089776e-19,1,302,766,"secretory vesicle","CC"
"13125","GO:0051046",1.00873147866384e-18,1,227,547,"regulation of secretion","BP"
"10617","GO:0042995",1.05209364312168e-18,1,636,1972,"cell projection","CC"
"17939","GO:0120025",1.21799523928417e-18,1,612,1885,"plasma membrane bounded cell projection","CC"
"11380","GO:0045055",1.46692587495008e-18,1,259,641,"regulated exocytosis","BP"
"13214","GO:0051179",1.60803358932859e-18,1,1553,5384,"localization","BP"
"9212","GO:0034762",2.92237754816504e-18,1,191,450,"regulation of transmembrane transport","BP"
"12772","GO:0048878",3.06930450127901e-18,1,326,874,"chemical homeostasis","BP"
"11159","GO:0044281",4.03718090480854e-18,1,564,1630,"small molecule metabolic process","BP"
"15417","GO:0070887",6.97120873356537e-18,1,802,2534,"cellular response to chemical stimulus","BP"
"12970","GO:0050804",8.64085481073657e-18,1,176,412,"modulation of chemical synaptic transmission","BP"
"17281","GO:0098590",9.58774180905259e-18,1,358,1013,"plasma membrane region","CC"
"5206","GO:0015267",1.17260231885347e-17,1,155,347,"channel activity","MF"
"17608","GO:0099177",1.23688393307504e-17,1,176,413,"regulation of trans-synaptic signaling","BP"
"13821","GO:0055080",1.27687237768126e-17,1,215,524,"cation homeostasis","BP"
"6833","GO:0022803",1.61322049467073e-17,1,155,348,"passive transmembrane transporter activity","MF"
"17369","GO:0098771",1.65512440218757e-17,1,217,531,"inorganic ion homeostasis","BP"
"12967","GO:0050801",1.66997427023715e-17,1,235,589,"ion homeostasis","BP"
"13846","GO:0055114",1.82280387198609e-17,1,325,832,"oxidation-reduction process","BP"
"10009","GO:0038023",2.57224205791981e-17,1,252,647,"signaling receptor activity","MF"
"13932","GO:0060089",2.57224205791981e-17,1,252,647,"molecular transducer activity","MF"
"6878","GO:0023061",3.15753784647619e-17,1,186,438,"signal release","BP"
"13239","GO:0051239",3.53411110393075e-17,1,785,2533,"regulation of multicellular organismal process","BP"
"6492","GO:0019932",4.23468286118555e-17,1,145,317,"second-messenger-mediated signaling","BP"
"3541","GO:0007267",4.71480112736385e-17,1,475,1404,"cell-cell signaling","BP"
"6841","GO:0022836",7.56856050495533e-17,1,120,252,"gated channel activity","MF"
"2181","GO:0004888",1.00672742783618e-16,1,212,522,"transmembrane signaling receptor activity","MF"
"19363","GO:1903530",1.06943839631951e-16,1,209,509,"regulation of secretion by cell","BP"
"3489","GO:0007186",1.28845435479414e-16,1,236,591,"G protein-coupled receptor signaling pathway","BP"
"5112","GO:0015079",1.39409056783395e-16,1,72,121,"potassium ion transmembrane transporter activity","MF"
"2353","GO:0005216",1.61625596693699e-16,1,145,327,"ion channel activity","MF"
"13494","GO:0051716",1.71840715948366e-16,1,1582,5552,"cellular response to stimulus","BP"
"3320","GO:0006887",2.03088944240992e-16,1,283,742,"exocytosis","BP"
"3275","GO:0006813",3.34667429324718e-16,1,97,188,"potassium ion transport","BP"
"13823","GO:0055082",8.60342791002748e-16,1,233,597,"cellular chemical homeostasis","BP"
"5690","GO:0016491",1.189636677004e-15,1,243,591,"oxidoreductase activity","MF"
"436","GO:0001505",1.75589272546855e-15,1,103,208,"regulation of neurotransmitter levels","BP"
"3308","GO:0006873",2.08436502787917e-15,1,194,477,"cellular ion homeostasis","BP"
"4893","GO:0010959",2.15334144693163e-15,1,140,311,"regulation of metal ion transport","BP"
"13809","GO:0055065",3.66053263068475e-15,1,185,454,"metal ion homeostasis","BP"
"15917","GO:0071805",4.17302235734163e-15,1,87,167,"potassium ion transmembrane transport","BP"
"19357","GO:1903522",5.4088278252268e-15,1,111,233,"regulation of blood circulation","BP"
"6873","GO:0023051",5.47215323992415e-15,1,888,2951,"regulation of signaling","BP"
"6398","GO:0019725",5.51631131934936e-15,1,270,722,"cellular homeostasis","BP"
"17380","GO:0098793",5.77064505548527e-15,1,191,475,"presynapse","CC"
"6881","GO:0030003",6.29026021291466e-15,1,190,469,"cellular cation homeostasis","BP"
"12170","GO:0046873",7.31943562124075e-15,1,140,327,"metal ion transmembrane transporter activity","MF"
"9955","GO:0036477",7.76309453844453e-15,1,284,786,"somatodendritic compartment","CC"
"3288","GO:0006836",8.64289085362031e-15,1,98,199,"neurotransmitter transport","BP"
"2381","GO:0005261",1.01500115326965e-14,1,118,260,"cation channel activity","MF"
"13018","GO:0050877",1.45500955012143e-14,1,282,779,"nervous system process","BP"
"7587","GO:0031410",1.94366508848959e-14,1,620,1947,"cytoplasmic vesicle","CC"
"3682","GO:0008016",2.33660458279041e-14,1,99,203,"regulation of heart contraction","BP"
"19651","GO:1904062",2.36718839291777e-14,1,127,283,"regulation of cation transmembrane transport","BP"
"18617","GO:1901700",2.60226623047794e-14,1,438,1304,"response to oxygen-containing compound","BP"
"17217","GO:0097708",2.60635044518048e-14,1,620,1950,"intracellular vesicle","CC"
"6958","GO:0030141",2.61019082612354e-14,1,240,618,"secretory granule","CC"
"13894","GO:0060047",2.88903574557361e-14,1,108,229,"heart contraction","BP"
"4480","GO:0010033",3.49754054568918e-14,1,786,2554,"response to organic substance","BP"
"1306","GO:0003015",5.00790870766714e-14,1,111,239,"heart process","BP"
"4778","GO:0010817",7.28774179708416e-14,1,157,371,"regulation of hormone levels","BP"
"10341","GO:0042391",7.40722090974056e-14,1,154,371,"regulation of membrane potential","BP"
"11160","GO:0044282",8.0576723263232e-14,1,160,367,"small molecule catabolic process","BP"
"18899","GO:1902495",8.10290775881696e-14,1,115,259,"transmembrane transporter complex","CC"
"10783","GO:0043270",9.22683227331328e-14,1,104,218,"positive regulation of ion transport","BP"
"4466","GO:0009986",1.00566639975211e-13,1,209,549,"cell surface","CC"
"9182","GO:0034705",1.38010867752092e-13,1,52,83,"potassium channel complex","CC"
"10446","GO:0042592",1.54708344360535e-13,1,481,1476,"homeostatic process","BP"
"2370","GO:0005244",1.67830466307302e-13,1,77,151,"voltage-gated ion channel activity","MF"
"6838","GO:0022832",1.67830466307302e-13,1,77,151,"voltage-gated channel activity","MF"
"3364","GO:0006955",2.0321183756133e-13,1,432,1276,"immune response","BP"
"10757","GO:0043230",2.2988072817764e-13,1,543,1651,"extracellular organelle","CC"
"4669","GO:0010646",2.34130754476252e-13,1,868,2916,"regulation of cell communication","BP"
"2383","GO:0005267",2.3785301872317e-13,1,56,93,"potassium channel activity","MF"
"19383","GO:1903561",3.04460074934989e-13,1,542,1650,"extracellular vesicle","CC"
"17391","GO:0098805",4.13660056040892e-13,1,478,1466,"whole membrane","CC"
"11167","GO:0044297",4.18207567292319e-13,1,205,538,"cell body","CC"
"3153","GO:0006629",4.4943627057518e-13,1,383,1116,"lipid metabolic process","BP"
"2460","GO:0005509",4.64156462526415e-13,1,200,537,"calcium ion binding","MF"
"20637","GO:1990351",5.41123378941932e-13,1,116,267,"transporter complex","CC"
"3310","GO:0006875",5.47109549469295e-13,1,163,404,"cellular metal ion homeostasis","BP"
"1303","GO:0003012",5.52924534908503e-13,1,142,341,"muscle system process","BP"
"16273","GO:0072507",5.60957040560264e-13,1,144,347,"divalent inorganic cation homeostasis","BP"
"3839","GO:0008289",8.45029344345061e-13,1,225,604,"lipid binding","MF"
"9180","GO:0034703",8.639122658851e-13,1,90,192,"cation channel complex","CC"
"7369","GO:0031012",8.92686138607544e-13,1,163,410,"extracellular matrix","CC"
"3309","GO:0006874",9.5303222454817e-13,1,134,317,"cellular calcium ion homeostasis","BP"
"16270","GO:0072503",1.05045031496571e-12,1,139,333,"cellular divalent inorganic cation homeostasis","BP"
"13816","GO:0055074",1.08362218971721e-12,1,136,324,"calcium ion homeostasis","BP"
"3543","GO:0007269",1.11986862689741e-12,1,80,161,"neurotransmitter secretion","BP"
"17728","GO:0099643",1.11986862689741e-12,1,80,161,"signal release from synapse","BP"
"6846","GO:0022843",1.80807527414229e-12,1,61,113,"voltage-gated cation channel activity","MF"
"14964","GO:0070062",2.34836408651601e-12,1,532,1632,"extracellular exosome","CC"
"3712","GO:0008076",2.38118605947406e-12,1,47,75,"voltage-gated potassium channel complex","CC"
"9179","GO:0034702",2.49025733763023e-12,1,107,246,"ion channel complex","CC"
"591","GO:0001775",2.4975128629e-12,1,345,1004,"cell activation","BP"
"8111","GO:0032409",2.63962988639713e-12,1,106,238,"regulation of transporter activity","BP"
"14620","GO:0061337",3.11697015769685e-12,1,64,122,"cardiac conduction","BP"
"3279","GO:0006820",3.12914034974358e-12,1,192,502,"anion transport","BP"
"9550","GO:0035637",3.94426472201398e-12,1,79,165,"multicellular organismal signaling","BP"
"4359","GO:0009605",4.06906357962294e-12,1,600,1931,"response to external stimulus","BP"
"12701","GO:0048731",4.26165418394219e-12,1,1082,3809,"system development","BP"
"2375","GO:0005249",4.70081165979361e-12,1,44,70,"voltage-gated potassium channel activity","MF"
"13129","GO:0051050",8.11721951370809e-12,1,260,735,"positive regulation of transport","BP"
"10883","GO:0043436",8.69977275948289e-12,1,329,934,"oxoacid metabolic process","BP"
"3361","GO:0006952",8.92137533752121e-12,1,347,1014,"defense response","BP"
"2789","GO:0006082",9.69130420592968e-12,1,332,945,"organic acid metabolic process","BP"
"6858","GO:0022898",1.1196592936908e-11,1,101,228,"regulation of transmembrane transporter activity","BP"
"4927","GO:0012506",1.47745322205974e-11,1,236,658,"vesicle membrane","CC"
"10640","GO:0043025",1.51354013915643e-11,1,180,477,"neuronal cell body","CC"
"8114","GO:0032412",1.71983193625161e-11,1,98,221,"regulation of ion transmembrane transporter activity","BP"
"14897","GO:0062023",1.96111469949007e-11,1,129,315,"collagen-containing extracellular matrix","CC"
"12443","GO:0048167",2.40919335542243e-11,1,84,182,"regulation of synaptic plasticity","BP"
"13240","GO:0051240",3.38887446401795e-11,1,440,1387,"positive regulation of multicellular organismal process","BP"
"7234","GO:0030672",3.60260514615952e-11,1,55,98,"synaptic vesicle membrane","CC"
"17627","GO:0099501",3.60260514615952e-11,1,55,98,"exocytic vesicle membrane","CC"
"6378","GO:0019637",3.9647091104206e-11,1,312,905,"organophosphate metabolic process","BP"
"3277","GO:0006816",4.41723470331631e-11,1,131,324,"calcium ion transport","BP"
"6407","GO:0019752",4.91682533033619e-11,1,303,856,"carboxylic acid metabolic process","BP"
"3363","GO:0006954",5.64388943807622e-11,1,175,455,"inflammatory response","BP"
"15383","GO:0070838",5.81471101333553e-11,1,142,360,"divalent metal ion transport","BP"
"3352","GO:0006936",7.34153650332628e-11,1,115,275,"muscle contraction","BP"
"7417","GO:0031090",9.38296520598059e-11,1,908,3059,"organelle membrane","CC"
"18569","GO:1901615",1.01975190611033e-10,1,165,425,"organic hydroxy compound metabolic process","BP"
"15624","GO:0071310",1.05131519313276e-10,1,629,2073,"cellular response to organic substance","BP"
"8363","GO:0032787",1.1507607123713e-10,1,195,514,"monocarboxylic acid metabolic process","BP"
"11146","GO:0044255",1.2228486552103e-10,1,300,871,"cellular lipid metabolic process","BP"
"16275","GO:0072511",1.361272173584e-10,1,142,364,"divalent inorganic cation transport","BP"
"12972","GO:0050806",1.39150951584822e-10,0.999999999964518,74,156,"positive regulation of synaptic transmission","BP"
"6442","GO:0019829",1.4595849719275e-10,0.99999999998243,32,46,"ATPase-coupled cation transmembrane transporter activity","MF"
"17384","GO:0098797",1.8021944952777e-10,1,165,444,"plasma membrane protein complex","CC"
"12755","GO:0048856",1.85834741130408e-10,1,1273,4598,"anatomical structure development","BP"
"21494","GO:2001257",1.9926341259552e-10,0.999999999949477,72,151,"regulation of cation channel activity","BP"
"5485","GO:0016054",2.11362890035612e-10,1,105,234,"organic acid catabolic process","BP"
"11953","GO:0046395",2.11362890035612e-10,1,105,234,"carboxylic acid catabolic process","BP"
"7225","GO:0030659",2.12919491456611e-10,1,225,637,"cytoplasmic vesicle membrane","CC"
"4363","GO:0009611",2.20603254242711e-10,1,177,480,"response to wounding","BP"
"2796","GO:0006091",2.21173975700778e-10,1,181,466,"generation of precursor metabolites and energy","BP"
"13375","GO:0051480",2.81951324739041e-10,1,101,238,"regulation of cytosolic calcium ion concentration","BP"
"974","GO:0002376",2.90013181391183e-10,1,628,2056,"immune system process","BP"
"7134","GO:0030424",3.20740641967762e-10,1,204,585,"axon","CC"
"17352","GO:0098739",3.4083868592077e-10,0.999999999919794,61,123,"import across plasma membrane","BP"
"6951","GO:0030133",3.45707458175385e-10,1,141,358,"transport vesicle","CC"
"4926","GO:0012505",4.01137942225931e-10,1,1072,3745,"endomembrane system","CC"
"6032","GO:0017157",4.90243699960469e-10,1,89,200,"regulation of exocytosis","BP"
"4393","GO:0009725",5.03433184182825e-10,1,243,707,"response to hormone","BP"
"4985","GO:0014070",5.56769853753641e-10,1,253,735,"response to organic cyclic compound","BP"
"5309","GO:0015711",5.98031215166988e-10,1,151,393,"organic anion transport","BP"
"17313","GO:0098659",6.37926488459912e-10,0.999999999864286,42,73,"inorganic cation import across plasma membrane","BP"
"17696","GO:0099587",6.37926488459912e-10,0.999999999864286,42,73,"inorganic ion import across plasma membrane","BP"
"2294","GO:0005102",6.69682580167829e-10,1,352,1083,"signaling receptor binding","MF"
"4482","GO:0010035",7.19264701905077e-10,1,170,452,"response to inorganic substance","BP"
"17106","GO:0097447",7.26778818944177e-10,1,201,575,"dendritic tree","CC"
"899","GO:0002252",7.72055748781771e-10,1,290,848,"immune effector process","BP"
"3264","GO:0006796",8.78383588628163e-10,1,806,2744,"phosphate-containing compound metabolic process","BP"
"7135","GO:0030425",8.80712922316142e-10,1,200,573,"dendrite","CC"
"10340","GO:0042383",9.20290731215362e-10,0.999999999732213,60,122,"sarcolemma","CC"
"4446","GO:0009914",9.64562478639553e-10,1,103,245,"hormone transport","BP"
"11161","GO:0044283",1.04363517020469e-09,1,217,592,"small molecule biosynthetic process","BP"
"10193","GO:0042060",1.0695101746199e-09,1,145,385,"wound healing","BP"
"18615","GO:1901698",1.20616324985305e-09,1,307,933,"response to nitrogen compound","BP"
"3504","GO:0007204",1.24463494054606e-09,1,89,207,"positive regulation of cytosolic calcium ion concentration","BP"
"3263","GO:0006793",1.30467566844586e-09,1,811,2768,"phosphorus metabolic process","BP"
"10761","GO:0043235",1.3411249559466e-09,1,119,310,"receptor complex","CC"
"10461","GO:0042625",1.55265908126342e-09,0.999999999752176,32,49,"ATPase-coupled ion transmembrane transporter activity","MF"
"17262","GO:0098552",1.57190755810626e-09,1,139,360,"side of membrane","CC"
"5500","GO:0016079",1.90960094082835e-09,0.999999999432405,56,112,"synaptic vesicle exocytosis","BP"
"5546","GO:0016192",2.00394644174561e-09,1,522,1718,"vesicle-mediated transport","BP"
"17526","GO:0099003",2.18004355232888e-09,1,87,206,"vesicle-mediated transport in synapse","BP"
"6859","GO:0022900",2.1926440420492e-09,0.999999999219313,78,155,"electron transport chain","BP"
"17381","GO:0098794",2.20323993368276e-09,1,206,603,"postsynapse","CC"
"13019","GO:0050878",2.34142443698994e-09,1,139,365,"regulation of body fluid levels","BP"
"3490","GO:0007187",2.72095631004307e-09,0.999999999013119,76,164,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger","BP"
"4442","GO:0009897",2.7765399840597e-09,0.999999998901927,85,193,"external side of plasma membrane","CC"
"17311","GO:0098657",2.79080047324371e-09,0.999999998920284,81,184,"import into cell","BP"
"12175","GO:0046879",2.8607845367202e-09,1,100,240,"hormone secretion","BP"
"11505","GO:0045321",2.9832621449289e-09,1,296,884,"leukocyte activation","BP"
"911","GO:0002274",3.09974748497403e-09,1,180,486,"myeloid leukocyte activation","BP"
"3800","GO:0008217",3.16085402260455e-09,0.999999998953163,65,133,"regulation of blood pressure","BP"
"4392","GO:0009719",3.34171364666286e-09,1,407,1312,"response to endogenous stimulus","BP"
"18940","GO:1902600",3.53107075645495e-09,0.999999998849009,64,127,"proton transmembrane transport","BP"
"7224","GO:0030658",3.62463306320837e-09,0.999999998611814,79,176,"transport vesicle membrane","CC"
"4522","GO:0010243",3.76318628978326e-09,1,289,879,"response to organonitrogen compound","BP"
"19248","GO:1903305",3.99910304776299e-09,0.99999999859325,68,145,"regulation of regulated secretory pathway","BP"
"13009","GO:0050865",4.29235334957839e-09,1,148,391,"regulation of cell activation","BP"
"6495","GO:0019935",4.39674217874744e-09,0.999999998419958,70,151,"cyclic-nucleotide-mediated signaling","BP"
"1202","GO:0002790",4.92161012387685e-09,1,142,376,"peptide secretion","BP"
"16913","GO:0097060",4.95392306632587e-09,1,130,351,"synaptic membrane","CC"
"18562","GO:1901606",4.99625355256576e-09,0.999999998757725,45,78,"alpha-amino acid catabolic process","BP"
"13592","GO:0051924",5.22496275366052e-09,0.999999997911245,84,191,"regulation of calcium ion transport","BP"
"19494","GO:1903779",6.83792666855923e-09,0.999999998587872,35,60,"regulation of cardiac conduction","BP"
"17422","GO:0098857",7.05375179444714e-09,1,111,282,"membrane microdomain","CC"
"9217","GO:0034767",7.10141286959518e-09,0.999999997622454,61,127,"positive regulation of ion transmembrane transport","BP"
"11952","GO:0046394",7.15729979069719e-09,1,115,281,"carboxylic acid biosynthetic process","BP"
"12613","GO:0048583",7.40079941191053e-09,1,935,3293,"regulation of response to stimulus","BP"
"3548","GO:0007275",7.675527919444e-09,1,1165,4243,"multicellular organism development","BP"
"6923","GO:0030072",7.93450776268485e-09,1,86,202,"peptide hormone secretion","BP"
"2818","GO:0006119",8.09470569182425e-09,0.999999997200428,67,131,"oxidative phosphorylation","BP"
"12925","GO:0050727",8.75184545790453e-09,1,95,227,"regulation of inflammatory response","BP"
"15161","GO:0070382",8.76409262437422e-09,1,88,206,"exocytic vesicle","CC"
"5484","GO:0016053",9.01638888734154e-09,1,115,282,"organic acid biosynthetic process","BP"
"18618","GO:1901701",9.18959790488815e-09,1,303,937,"cellular response to oxygen-containing compound","BP"
"11172","GO:0044304",9.8118296056269e-09,0.999999997843402,36,64,"main axon","CC"
"3685","GO:0008021",9.97865745836738e-09,0.99999999593019,83,189,"synaptic vesicle","CC"
"13425","GO:0051588",1.10694211741853e-08,0.999999996522366,54,110,"regulation of neurotransmitter transport","BP"
"11412","GO:0045121",1.18950958265522e-08,1,110,281,"membrane raft","CC"
"14280","GO:0060627",1.21264625101614e-08,1,171,480,"regulation of vesicle-mediated transport","BP"
"8188","GO:0032502",1.24882058314692e-08,1,1354,4981,"developmental process","BP"
"12179","GO:0046883",1.25825558867563e-08,1,86,202,"regulation of hormone secretion","BP"
"17630","GO:0099504",1.27408647145154e-08,0.999999994844385,79,186,"synaptic vesicle cycle","BP"
"14936","GO:0065009",1.28263271453742e-08,1,713,2449,"regulation of molecular function","BP"
"5621","GO:0016324",1.47031664263632e-08,1,102,260,"apical plasma membrane","CC"
"3462","GO:0007155",1.61676269047328e-08,1,344,1125,"cell adhesion","BP"
"10794","GO:0043292",1.68934231510885e-08,0.999999993016626,81,190,"contractile fiber","CC"
"3650","GO:0007599",1.82819380419251e-08,1,101,251,"hemostasis","BP"
"13241","GO:0051241",1.92775036666409e-08,1,303,942,"negative regulation of multicellular organismal process","BP"
"4484","GO:0010038",2.17225853622448e-08,1,114,290,"response to metal ion","BP"
"3801","GO:0008219",2.1898198581948e-08,1,523,1723,"cell death","BP"
"6821","GO:0022610",2.2163837821207e-08,1,344,1128,"biological adhesion","BP"
"9214","GO:0034764",2.2194279547972e-08,0.999999991317051,72,164,"positive regulation of transmembrane transport","BP"
"8981","GO:0034341",2.240625741807e-08,0.999999992291631,60,123,"response to interferon-gamma","BP"
"2571","GO:0005737",2.39174620665011e-08,1,2511,9481,"cytoplasm","CC"
"10462","GO:0042626",2.42042323209539e-08,0.999999993525537,42,80,"ATPase-coupled transmembrane transporter activity","MF"
"11812","GO:0046034",2.44224475924867e-08,1,112,274,"ATP metabolic process","BP"
"19653","GO:1904064",2.50753686414455e-08,0.999999991639468,56,116,"positive regulation of cation transmembrane transport","BP"
"6860","GO:0022904",2.88630534484629e-08,0.999999990747533,56,104,"respiratory electron transport chain","BP"
"12204","GO:0046928",3.19201582838568e-08,0.999999990177924,49,99,"regulation of neurotransmitter secretion","BP"
"1011","GO:0002443",3.3117306332855e-08,1,199,561,"leukocyte mediated immunity","BP"
"2480","GO:0005543",3.31580708483562e-08,1,140,386,"phospholipid binding","MF"
"11441","GO:0045177",3.31834077349411e-08,1,118,317,"apical part of cell","CC"
"17383","GO:0098796",3.34979877625503e-08,1,318,986,"membrane protein complex","CC"
"912","GO:0002275",3.78638572454854e-08,1,156,420,"myeloid cell activation involved in immune response","BP"
"4128","GO:0009063",3.96783657283411e-08,0.999999987643016,51,98,"cellular amino acid catabolic process","BP"
"15283","GO:0070588",4.27292320544424e-08,1,97,248,"calcium ion transmembrane transport","BP"
"16682","GO:0090257",4.34589513228409e-08,0.999999981726075,79,186,"regulation of muscle system process","BP"
"15872","GO:0071692",4.46872264830911e-08,1,131,352,"protein localization to extracellular region","BP"
"3659","GO:0007611",4.50974487589438e-08,1,91,230,"learning or memory","BP"
"17280","GO:0098589",4.51829860941323e-08,1,111,291,"membrane region","CC"
"4130","GO:0009065",4.51850788007182e-08,0.999999996848248,18,22,"glutamine family amino acid catabolic process","BP"
"6852","GO:0022853",4.54749396320629e-08,0.999999981714412,72,168,"active ion transmembrane transporter activity","MF"
"966","GO:0002366",4.75926630191592e-08,1,185,520,"leukocyte activation involved in immune response","BP"
"1012","GO:0002444",4.77779117156359e-08,1,157,425,"myeloid leukocyte mediated immunity","BP"
"904","GO:0002263",4.79492814250544e-08,1,186,524,"cell activation involved in immune response","BP"
"13594","GO:0051928",4.8211056206205e-08,0.999999985773678,46,89,"positive regulation of calcium ion transport","BP"
"6978","GO:0030168",4.87376960807611e-08,0.999999982792214,58,125,"platelet activation","BP"
"13034","GO:0050900",5.14741441290305e-08,1,114,294,"leukocyte migration","BP"
"10799","GO:0043299",5.38021619676488e-08,1,153,412,"leukocyte degranulation","BP"
"5211","GO:0015276",5.40035141904708e-08,0.999999983126035,48,99,"ligand-gated ion channel activity","MF"
"6839","GO:0022834",5.40035141904708e-08,0.999999983126035,48,99,"ligand-gated channel activity","MF"
"7231","GO:0030667",5.54026174886289e-08,1,94,232,"secretory granule membrane","CC"
"5383","GO:0015849",5.56206757434695e-08,1,104,265,"organic acid transport","BP"
"4881","GO:0010941",5.59008853130951e-08,1,416,1340,"regulation of cell death","BP"
"12213","GO:0046942",5.63619570495496e-08,1,103,262,"carboxylic acid transport","BP"
"9492","GO:0035556",5.65752374903119e-08,1,658,2281,"intracellular signal transduction","BP"
"3647","GO:0007596",6.04707469744799e-08,1,98,247,"blood coagulation","BP"
"11174","GO:0044306",6.39071480473514e-08,0.999999976330312,62,135,"neuron projection terminus","CC"
"3660","GO:0007612",6.43485802410443e-08,0.999999976196551,61,136,"learning","BP"
"4299","GO:0009306",6.56289112071369e-08,1,129,347,"protein secretion","BP"
"9517","GO:0035592",6.56289112071369e-08,1,129,347,"establishment of protein localization to extracellular region","BP"
"1309","GO:0003018",7.29840498457503e-08,0.999999971825587,66,146,"vascular process in circulatory system","BP"
"10715","GO:0043168",7.71028197182605e-08,1,686,2406,"anion binding","MF"
"6889","GO:0030016",7.82004055824978e-08,0.999999967043859,76,181,"myofibril","CC"
"13611","GO:0051952",8.00646844632031e-08,0.999999978087502,41,76,"regulation of amine transport","BP"
