"","category","over_represented_pvalue","term","ontology"
"15534","GO:0071103",9.40847390546061e-18,"DNA conformation change","BP"
"11733","GO:0045892",1.01247212728309e-17,"negative regulation of transcription, DNA-templated","BP"
"13283","GO:0051301",5.07546681984535e-17,"cell division","BP"
"19344","GO:1903507",5.22345667718169e-17,"negative regulation of nucleic acid-templated transcription","BP"
"18966","GO:1902679",5.84459687337951e-17,"negative regulation of RNA biosynthetic process","BP"
"20928","GO:2000113",8.03602651424908e-17,"negative regulation of cellular macromolecule biosynthetic process","BP"
"11140","GO:0044238",3.47279329072344e-16,"primary metabolic process","BP"
"3426","GO:0007059",3.49827891372734e-16,"chromosome segregation","BP"
"4609","GO:0010558",4.76565925187037e-16,"negative regulation of macromolecule biosynthetic process","BP"
"11764","GO:0045934",5.21951418014607e-16,"negative regulation of nucleobase-containing compound metabolic process","BP"
"13249","GO:0051253",5.49449635114773e-16,"negative regulation of RNA metabolic process","BP"
"6801","GO:0022402",1.54394741849068e-15,"cell cycle process","BP"
"133","GO:0000278",3.21369929340072e-15,"mitotic cell cycle","BP"
"19130","GO:1903047",4.12583989859908e-15,"mitotic cell cycle process","BP"
"2929","GO:0006325",9.08822889590336e-15,"chromatin organization","BP"
"7537","GO:0031327",1.15540624347422e-14,"negative regulation of cellular biosynthetic process","BP"
"309","GO:0000819",1.2610736182951e-14,"sister chromatid segregation","BP"
"3420","GO:0007049",1.9436750517768e-14,"cell cycle","BP"
"17395","GO:0098813",2.69077581507722e-14,"nuclear chromosome segregation","BP"
"12959","GO:0050789",3.66621799570767e-14,"regulation of biological process","BP"
"4435","GO:0009890",7.96406890498977e-14,"negative regulation of biosynthetic process","BP"
"59","GO:0000122",1.65077073782732e-13,"negative regulation of transcription by RNA polymerase II","BP"
"134","GO:0000280",1.75045049177758e-13,"nuclear division","BP"
"12963","GO:0050794",1.86379991412799e-13,"regulation of cellular process","BP"
"15881","GO:0071704",2.23006759877365e-13,"organic substance metabolic process","BP"
"4653","GO:0010629",2.81153403857664e-13,"negative regulation of gene expression","BP"
"2899","GO:0006281",3.50222640625925e-13,"DNA repair","BP"
"2885","GO:0006261",5.90633951887307e-13,"DNA-dependent DNA replication","BP"
"2935","GO:0006338",9.89669698602883e-13,"chromatin remodeling","BP"
"2928","GO:0006323",2.01655721658284e-12,"DNA packaging","BP"
"18007","GO:0140014",8.65412762846999e-12,"mitotic nuclear division","BP"
"33","GO:0000070",1.19288051273627e-11,"mitotic sister chromatid segregation","BP"
"11139","GO:0044237",1.94631072628896e-11,"cellular metabolic process","BP"
"3373","GO:0006974",5.42744358428277e-11,"cellular response to DNA damage stimulus","BP"
"2930","GO:0006333",7.37582311270092e-11,"chromatin assembly or disassembly","BP"
"12502","GO:0048285",1.01549107403077e-10,"organelle fission","BP"
"2924","GO:0006310",2.96015031128132e-10,"DNA recombination","BP"
"14934","GO:0065007",6.79477055045249e-10,"biological regulation","BP"
"4615","GO:0010564",9.88065515016602e-10,"regulation of cell cycle process","BP"
"7639","GO:0031497",1.16531926509592e-09,"chromatin assembly","BP"
"3756","GO:0008152",2.21097147610848e-09,"metabolic process","BP"
"11297","GO:0044770",3.61816783163086e-09,"cell cycle phase transition","BP"
"3428","GO:0007062",5.95994337129588e-09,"sister chromatid cohesion","BP"
"6215","GO:0019083",6.58441283913588e-09,"viral transcription","BP"
"34","GO:0000075",7.76535890338571e-09,"cell cycle checkpoint","BP"
"109","GO:0000226",7.91416404085657e-09,"microtubule cytoskeleton organization","BP"
"11299","GO:0044772",8.15731997434137e-09,"mitotic cell cycle phase transition","BP"
"7390","GO:0031055",8.27925562520181e-09,"chromatin remodeling at centromere","BP"
"2916","GO:0006302",8.39849856132147e-09,"double-strand break repair","BP"
"9089","GO:0034508",1.12406841214889e-08,"centromere complex assembly","BP"
"11308","GO:0044786",1.13660918351931e-08,"cell cycle DNA replication","BP"
"19129","GO:1903046",1.92027976005976e-08,"meiotic cell cycle process","BP"
"16555","GO:0090068",2.29921149398427e-08,"positive regulation of cell cycle process","BP"
"15928","GO:0071824",2.71108773512388e-08,"protein-DNA complex subunit organization","BP"
"13636","GO:0051983",3.47004619189633e-08,"regulation of chromosome segregation","BP"
"19023","GO:1902850",3.73036924125223e-08,"microtubule cytoskeleton organization involved in mitosis","BP"
"6212","GO:0019080",3.98422693706209e-08,"viral gene expression","BP"
"2893","GO:0006271",4.36966357517728e-08,"DNA strand elongation involved in DNA replication","BP"
"3441","GO:0007093",4.51902545920412e-08,"mitotic cell cycle checkpoint","BP"
"8098","GO:0032392",4.85225446444587e-08,"DNA geometric change","BP"
"13296","GO:0051321",6.67643466929107e-08,"meiotic cell cycle","BP"
"8636","GO:0033260",6.77288342657255e-08,"nuclear DNA replication","BP"
"3142","GO:0006614",6.85146953386387e-08,"SRP-dependent cotranslational protein targeting to membrane","BP"
"343","GO:0000956",7.84050036945046e-08,"nuclear-transcribed mRNA catabolic process","BP"
"18006","GO:0140013",1.34841536753851e-07,"meiotic nuclear division","BP"
"8853","GO:0034080",1.69543582307726e-07,"CENP-A containing nucleosome assembly","BP"
"14749","GO:0061641",1.69543582307726e-07,"CENP-A containing chromatin organization","BP"
"14889","GO:0061982",1.83988255240634e-07,"meiosis I cell cycle process","BP"
"9876","GO:0036297",2.66267398195391e-07,"interstrand cross-link repair","BP"
"93","GO:0000184",2.99141042505143e-07,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP"
"5729","GO:0016569",3.02413962222256e-07,"covalent chromatin modification","BP"
"14932","GO:0065004",3.06634859023049e-07,"protein-DNA complex assembly","BP"
"257","GO:0000725",3.58592219056713e-07,"recombinational repair","BP"
"3141","GO:0006613",3.65270053809653e-07,"cotranslational protein targeting to membrane","BP"
"10654","GO:0043044",3.82369132127093e-07,"ATP-dependent chromatin remodeling","BP"
"11419","GO:0045132",4.26101401886144e-07,"meiotic chromosome segregation","BP"
"6826","GO:0022616",4.92389298924145e-07,"DNA strand elongation","BP"
"11684","GO:0045787",4.98755401544827e-07,"positive regulation of cell cycle","BP"
"8535","GO:0033046",6.72639505893128e-07,"negative regulation of sister chromatid segregation","BP"
"13638","GO:0051985",6.72639505893128e-07,"negative regulation of chromosome segregation","BP"
"3422","GO:0007051",7.03417601440811e-07,"spindle organization","BP"
"13501","GO:0051726",9.056942460015e-07,"regulation of cell cycle","BP"
"2970","GO:0006396",9.2875409496857e-07,"RNA processing","BP"
"3450","GO:0007127",1.01372956829667e-06,"meiosis I","BP"
"9199","GO:0034728",1.038312013933e-06,"nucleosome organization","BP"
"4636","GO:0010605",1.15969324300934e-06,"negative regulation of macromolecule metabolic process","BP"
"3423","GO:0007052",1.19295773693473e-06,"mitotic spindle organization","BP"
"2933","GO:0006336",1.23820387833861e-06,"DNA replication-independent nucleosome assembly","BP"
"3571","GO:0007346",1.29773842101402e-06,"regulation of mitotic cell cycle","BP"
"7672","GO:0031570",1.32165088491678e-06,"DNA integrity checkpoint","BP"
"256","GO:0000724",1.39200523835391e-06,"double-strand break repair via homologous recombination","BP"
"11330","GO:0044839",1.63639652407967e-06,"cell cycle G2/M phase transition","BP"
"2931","GO:0006334",1.81209618567446e-06,"nucleosome assembly","BP"
"8193","GO:0032508",2.16933299218271e-06,"DNA duplex unwinding","BP"
"2892","GO:0006270",2.22781874898401e-06,"DNA replication initiation","BP"
"9197","GO:0034724",2.49575438520704e-06,"DNA replication-independent nucleosome organization","BP"
"3438","GO:0007088",2.59960367551892e-06,"regulation of mitotic nuclear division","BP"
"11765","GO:0045935",2.77329080791949e-06,"positive regulation of nucleobase-containing compound metabolic process","BP"
"11366","GO:0045023",2.84360777077122e-06,"G0 to G1 transition","BP"
"21489","GO:2001251",2.87991040865285e-06,"negative regulation of chromosome organization","BP"
"13526","GO:0051783",2.88315564313671e-06,"regulation of nuclear division","BP"
"17219","GO:0097711",2.88967969538473e-06,"ciliary basal body-plasma membrane docking","BP"
"11376","GO:0045047",3.07466414318568e-06,"protein targeting to ER","BP"
"259","GO:0000727",3.2890722564615e-06,"double-strand break repair via break-induced replication","BP"
"17345","GO:0098727",3.58008919920161e-06,"maintenance of cell number","BP"
"9030","GO:0034401",3.58492986158958e-06,"chromatin organization involved in regulation of transcription","BP"
"6109","GO:0018205",3.68993729572269e-06,"peptidyl-lysine modification","BP"
"8537","GO:0033048",4.34258157956235e-06,"negative regulation of mitotic sister chromatid segregation","BP"
"6440","GO:0019827",4.92418912675331e-06,"stem cell population maintenance","BP"
"5730","GO:0016570",5.63608671097076e-06,"histone modification","BP"
"8533","GO:0033044",5.91445024809711e-06,"regulation of chromosome organization","BP"
"8534","GO:0033045",6.14911758311036e-06,"regulation of sister chromatid segregation","BP"
"13286","GO:0051304",6.38988391716607e-06,"chromosome separation","BP"
"2","GO:0000003",6.68705977680269e-06,"reproduction","BP"
"18994","GO:1902749",7.2280608531982e-06,"regulation of cell cycle G2/M phase transition","BP"
"4608","GO:0010557",7.94430249814164e-06,"positive regulation of macromolecule biosynthetic process","BP"
"15123","GO:0070316",8.55420283398278e-06,"regulation of G0 to G1 transition","BP"
"6813","GO:0022414",9.01251400750479e-06,"reproductive process","BP"
"3463","GO:0007156",1.00017957733318e-05,"homophilic cell adhesion via plasma membrane adhesion molecules","BP"
"16216","GO:0072331",1.19320154535151e-05,"signal transduction by p53 class mediator","BP"
"20469","GO:1905819",1.33825168557586e-05,"negative regulation of chromosome separation","BP"
"21334","GO:2000816",1.33825168557586e-05,"negative regulation of mitotic sister chromatid separation","BP"
"5492","GO:0016071",1.36391612794426e-05,"mRNA metabolic process","BP"
"8536","GO:0033047",1.40952004743654e-05,"regulation of mitotic sister chromatid segregation","BP"
"39","GO:0000082",1.41453978026821e-05,"G1/S transition of mitotic cell cycle","BP"
"11713","GO:0045839",1.42731259403019e-05,"negative regulation of mitotic nuclear division","BP"
"2985","GO:0006413",1.50917134463999e-05,"translational initiation","BP"
"16337","GO:0072599",1.52670672265252e-05,"establishment of protein localization to endoplasmic reticulum","BP"
"11331","GO:0044843",1.5558732644035e-05,"cell cycle G1/S phase transition","BP"
"11734","GO:0045893",1.5645766278642e-05,"positive regulation of transcription, DNA-templated","BP"
"13527","GO:0051784",1.58574110082926e-05,"negative regulation of nuclear division","BP"
"7044","GO:0030261",1.64165141513001e-05,"chromosome condensation","BP"
"41","GO:0000086",1.81725114941466e-05,"G2/M transition of mitotic cell cycle","BP"
"10159","GO:0040029",1.82206553573227e-05,"regulation of gene expression, epigenetic","BP"
"16722","GO:0090307",1.85961854995447e-05,"mitotic spindle assembly","BP"
"18700","GO:1901987",1.9417248253913e-05,"regulation of cell cycle phase transition","BP"
"3599","GO:0007420",2.0399448208057e-05,"brain development","BP"
"15124","GO:0070317",2.09959110078724e-05,"negative regulation of G0 to G1 transition","BP"
"9229","GO:0034968",2.16300340131864e-05,"histone lysine methylation","BP"
"11301","GO:0044774",2.54612734050789e-05,"mitotic DNA integrity checkpoint","BP"
"19345","GO:1903508",2.78743444339767e-05,"positive regulation of nucleic acid-templated transcription","BP"
"4884","GO:0010948",2.79720559095251e-05,"negative regulation of cell cycle process","BP"
"4437","GO:0009892",2.93493675744536e-05,"negative regulation of metabolic process","BP"
"18967","GO:1902680",2.95671271537782e-05,"positive regulation of RNA biosynthetic process","BP"
"3447","GO:0007099",2.96232571158325e-05,"centriole replication","BP"
"5676","GO:0016458",3.21859601461715e-05,"gene silencing","BP"
"13131","GO:0051052",3.3833403452827e-05,"regulation of DNA metabolic process","BP"
"5731","GO:0016571",3.42440856723525e-05,"histone methylation","BP"
"17353","GO:0098742",3.47308415336417e-05,"cell-cell adhesion via plasma-membrane adhesion molecules","BP"
"13229","GO:0051225",3.75274207262834e-05,"spindle assembly","BP"
"15046","GO:0070192",3.75757551474478e-05,"chromosome organization involved in meiotic cell cycle","BP"
"11715","GO:0045841",4.05321530629051e-05,"negative regulation of mitotic metaphase/anaphase transition","BP"
"18747","GO:1902100",4.05321530629051e-05,"negative regulation of metaphase/anaphase transition of cell cycle","BP"
"4413","GO:0009790",4.12215494627576e-05,"embryo development","BP"
"14072","GO:0060322",4.12806684724785e-05,"head development","BP"
"12590","GO:0048532",4.56777556556675e-05,"anatomical structure arrangement","BP"
"16248","GO:0072395",4.66520032890011e-05,"signal transduction involved in cell cycle checkpoint","BP"
"3453","GO:0007131",4.75673304288861e-05,"reciprocal meiotic recombination","BP"
"13209","GO:0051172",5.41332871161719e-05,"negative regulation of nitrogen compound metabolic process","BP"
"10901","GO:0043486",5.5208099347463e-05,"histone exchange","BP"
"7319","GO:0030900",5.55363651765574e-05,"forebrain development","BP"
"4436","GO:0009891",5.6728578467061e-05,"positive regulation of biosynthetic process","BP"
"19083","GO:1902969",6.1004264468832e-05,"mitotic DNA replication","BP"
"17165","GO:0097549",6.42664701413751e-05,"chromatin organization involved in negative regulation of transcription","BP"
"17256","GO:0098534",6.53681652868529e-05,"centriole assembly","BP"
"18703","GO:1901990",6.58445105322797e-05,"regulation of mitotic cell cycle phase transition","BP"
"3442","GO:0007094",6.63981881179484e-05,"mitotic spindle assembly checkpoint","BP"
"7676","GO:0031577",6.63981881179484e-05,"spindle checkpoint","BP"
"15560","GO:0071173",6.63981881179484e-05,"spindle assembly checkpoint","BP"
"15561","GO:0071174",6.63981881179484e-05,"mitotic spindle checkpoint","BP"
"4017","GO:0008608",6.64889493071374e-05,"attachment of spindle microtubules to kinetochore","BP"
"9661","GO:0035825",6.9295073500351e-05,"homologous recombination","BP"
"9085","GO:0034502",6.95650492410535e-05,"protein localization to chromosome","BP"
"13250","GO:0051254",7.12673221945275e-05,"positive regulation of RNA metabolic process","BP"
"13325","GO:0051383",8.27465378908057e-05,"kinetochore organization","BP"
"16250","GO:0072401",8.54746277863315e-05,"signal transduction involved in DNA integrity checkpoint","BP"
"16255","GO:0072422",8.54746277863315e-05,"signal transduction involved in DNA damage checkpoint","BP"
"36","GO:0000077",8.90439360306401e-05,"DNA damage checkpoint","BP"
"7383","GO:0031047",9.48339892936844e-05,"gene silencing by RNA","BP"
"171","GO:0000377",9.62266006660951e-05,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","BP"
"184","GO:0000398",9.62266006660951e-05,"mRNA splicing, via spliceosome","BP"
"21390","GO:2001020",9.65012666699845e-05,"regulation of response to DNA damage stimulus","BP"
"4550","GO:0010389",9.77261583492557e-05,"regulation of G2/M transition of mitotic cell cycle","BP"
"7534","GO:0031324",9.88421357635974e-05,"negative regulation of cellular metabolic process","BP"
"3446","GO:0007098",9.9541214169409e-05,"centrosome cycle","BP"
"12652","GO:0048663",0.000105335991092638,"neuron fate commitment","BP"
"7538","GO:0031328",0.000106609740285591,"positive regulation of cellular biosynthetic process","BP"
"6569","GO:0021559",0.000106719486232581,"trigeminal nerve development","BP"
"15377","GO:0070828",0.000116778078701024,"heterochromatin organization","BP"
"170","GO:0000375",0.000131848399427008,"RNA splicing, via transesterification reactions","BP"
"2900","GO:0006282",0.000133972740821653,"regulation of DNA repair","BP"
"4898","GO:0010965",0.000147509898719537,"regulation of mitotic sister chromatid separation","BP"
"7645","GO:0031507",0.000155211968989532,"heterochromatin assembly","BP"
"11300","GO:0044773",0.000156557194450136,"mitotic DNA damage checkpoint","BP"
"13284","GO:0051302",0.000159173287301191,"regulation of cell division","BP"
"2976","GO:0006402",0.000159468812801614,"mRNA catabolic process","BP"
"7966","GO:0032200",0.000169835219736479,"telomere organization","BP"
"6062","GO:0018022",0.000169872114369541,"peptidyl-lysine methylation","BP"
"7098","GO:0030330",0.000206997705640636,"DNA damage response, signal transduction by p53 class mediator","BP"
"10899","GO:0043484",0.000217759451877763,"regulation of RNA splicing","BP"
"15551","GO:0071158",0.00021902908593368,"positive regulation of cell cycle arrest","BP"
"3430","GO:0007064",0.000225309422230737,"mitotic sister chromatid cohesion","BP"
"13410","GO:0051568",0.000230129166758929,"histone H3-K4 methylation","BP"
"13133","GO:0051054",0.000231709180256937,"positive regulation of DNA metabolic process","BP"
"12565","GO:0048485",0.000248613016800032,"sympathetic nervous system development","BP"
"3375","GO:0006977",0.000275221693378294,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest","BP"
"11356","GO:0045005",0.000279068985487062,"DNA-dependent DNA replication maintenance of fidelity","BP"
"6720","GO:0021879",0.000288413483462414,"forebrain neuron differentiation","BP"
"7396","GO:0031062",0.000294736106591534,"positive regulation of histone methylation","BP"
"18635","GO:1901796",0.000299536491487942,"regulation of signal transduction by p53 class mediator","BP"
"13288","GO:0051306",0.000339339839840734,"mitotic sister chromatid separation","BP"
"3440","GO:0007091",0.00034160423931485,"metaphase/anaphase transition of mitotic cell cycle","BP"
"11286","GO:0044728",0.000359511792194164,"DNA methylation or demethylation","BP"
"13413","GO:0051571",0.000364323411629097,"positive regulation of histone H3-K4 methylation","BP"
"9316","GO:0035195",0.000374044389078414,"gene silencing by miRNA","BP"
"255","GO:0000723",0.00037685608729403,"telomere maintenance","BP"
"10531","GO:0042770",0.000380504231609233,"signal transduction in response to DNA damage","BP"
"7614","GO:0031445",0.000389556273653133,"regulation of heterochromatin assembly","BP"
"11434","GO:0045165",0.000397522021146352,"cell fate commitment","BP"
"2937","GO:0006346",0.000425293977834867,"DNA methylation-dependent heterochromatin assembly","BP"
"11306","GO:0044784",0.000432239235669434,"metaphase/anaphase transition of cell cycle","BP"
"6555","GO:0021543",0.000445932729243686,"pallium development","BP"
"11683","GO:0045786",0.000446657768564572,"negative regulation of cell cycle","BP"
"16260","GO:0072431",0.000452955814220609,"signal transduction involved in mitotic G1 DNA damage checkpoint","BP"
"18865","GO:1902400",0.000452955814220609,"intracellular signal transduction involved in G1 DNA damage checkpoint","BP"
"7377","GO:0031023",0.000459285219628045,"microtubule organizing center organization","BP"
"20468","GO:1905818",0.000470149981634844,"regulation of chromosome separation","BP"
"6719","GO:0021877",0.000477219593502961,"forebrain neuron fate commitment","BP"
"6922","GO:0030071",0.000484392240560551,"regulation of mitotic metaphase/anaphase transition","BP"
"12406","GO:0048024",0.000489689217364317,"regulation of mRNA splicing, via spliceosome","BP"
"7674","GO:0031572",0.000506862919399085,"G2 DNA damage checkpoint","BP"
"5108","GO:0015074",0.000524223139687274,"DNA integration","BP"
"2975","GO:0006401",0.000537155055316592,"RNA catabolic process","BP"
"14753","GO:0061647",0.000581703593910619,"histone H3-K9 modification","BP"
"3436","GO:0007080",0.000583654081009605,"mitotic metaphase plate congression","BP"
"4516","GO:0010212",0.000590573775933888,"response to ionizing radiation","BP"
"16252","GO:0072413",0.000605234175121119,"signal transduction involved in mitotic cell cycle checkpoint","BP"
"18866","GO:1902402",0.000605234175121119,"signal transduction involved in mitotic DNA damage checkpoint","BP"
"18867","GO:1902403",0.000605234175121119,"signal transduction involved in mitotic DNA integrity checkpoint","BP"
"18746","GO:1902099",0.000611460327474625,"regulation of metaphase/anaphase transition of cell cycle","BP"
"35","GO:0000076",0.000613031027332061,"DNA replication checkpoint","BP"
"15549","GO:0071156",0.000661245237169528,"regulation of cell cycle arrest","BP"
"1296","GO:0003002",0.000662154054717913,"regionalization","BP"
"6605","GO:0021636",0.000668473450967633,"trigeminal nerve morphogenesis","BP"
"6606","GO:0021637",0.000668473450967633,"trigeminal nerve structural organization","BP"
"174","GO:0000380",0.000679266090242027,"alternative mRNA splicing, via spliceosome","BP"
"260","GO:0000729",0.000683390571632883,"DNA double-strand break processing","BP"
"8492","GO:0032986",0.000686113786542316,"protein-DNA complex disassembly","BP"
"175","GO:0000381",0.000688210665896329,"regulation of alternative mRNA splicing, via spliceosome","BP"
"15723","GO:0071459",0.000698471329864255,"protein localization to chromosome, centromeric region","BP"
"3892","GO:0008380",0.000716328466806907,"RNA splicing","BP"
"6717","GO:0021872",0.000732225527387161,"forebrain generation of neurons","BP"
"3399","GO:0007017",0.000785385766873486,"microtubule-based process","BP"
"15971","GO:0071897",0.000824526878813279,"DNA biosynthetic process","BP"
"2919","GO:0006305",0.000846851367529255,"DNA alkylation","BP"
"2920","GO:0006306",0.000846851367529255,"DNA methylation","BP"
"6599","GO:0021612",0.000850604419835112,"facial nerve structural organization","BP"
"9315","GO:0035194",0.000874564990527639,"post-transcriptional gene silencing by RNA","BP"
"18295","GO:1900262",0.000884790180270318,"regulation of DNA-directed DNA polymerase activity","BP"
"18296","GO:1900264",0.000884790180270318,"positive regulation of DNA-directed DNA polymerase activity","BP"
"6549","GO:0021537",0.000896396716014789,"telencephalon development","BP"
"11760","GO:0045930",0.000973021049138716,"negative regulation of mitotic cell cycle","BP"
"11425","GO:0045143",0.000987076433510981,"homologous chromosome segregation","BP"
"15445","GO:0070934",0.00100176440472008,"CRD-mediated mRNA stabilization","BP"
"7394","GO:0031060",0.00103116457430784,"regulation of histone methylation","BP"
"2971","GO:0006397",0.00104471970413559,"mRNA processing","BP"
"7673","GO:0031571",0.00104525999090993,"mitotic G1 DNA damage checkpoint","BP"
"581","GO:0001764",0.00105640551586399,"neuron migration","BP"
"2897","GO:0006275",0.00115008798167349,"regulation of DNA replication","BP"
"16741","GO:0090329",0.00119605953670061,"regulation of DNA-dependent DNA replication","BP"
"21392","GO:2001022",0.00120354621455556,"positive regulation of response to DNA damage stimulus","BP"
"40","GO:0000083",0.00125568085008532,"regulation of transcription involved in G1/S transition of mitotic cell cycle","BP"
"13252","GO:0051256",0.00125672888390847,"mitotic spindle midzone assembly","BP"
"4454","GO:0009952",0.00128395924944527,"anterior/posterior pattern specification","BP"
"4517","GO:0010216",0.00128504884812663,"maintenance of DNA methylation","BP"
"5668","GO:0016441",0.00128983630779674,"posttranscriptional gene silencing","BP"
"2889","GO:0006267",0.00130328391572187,"pre-replicative complex assembly involved in nuclear cell cycle DNA replication","BP"
"9922","GO:0036388",0.00130328391572187,"pre-replicative complex assembly","BP"
"18830","GO:1902299",0.00130328391572187,"pre-replicative complex assembly involved in cell cycle DNA replication","BP"
"11695","GO:0045814",0.00131560598553845,"negative regulation of gene expression, epigenetic","BP"
"3401","GO:0007019",0.00132170580951232,"microtubule depolymerization","BP"
"15772","GO:0071539",0.00133821357476223,"protein localization to centrosome","BP"
"11323","GO:0044819",0.00134134231352067,"mitotic G1/S transition checkpoint","BP"
"16366","GO:0072698",0.00136326071509667,"protein localization to microtubule cytoskeleton","BP"
"11305","GO:0044783",0.00137431665096895,"G1 DNA damage checkpoint","BP"
"13640","GO:0051988",0.0013956518340525,"regulation of attachment of spindle microtubules to kinetochore","BP"
"3584","GO:0007389",0.00139864911257604,"pattern specification process","BP"
"6762","GO:0021953",0.00142806321422873,"central nervous system neuron differentiation","BP"
"18824","GO:1902285",0.0014572270223096,"semaphorin-plexin signaling pathway involved in neuron projection guidance","BP"
"3597","GO:0007417",0.00147176715162208,"central nervous system development","BP"
"3905","GO:0008406",0.00147606826595679,"gonad development","BP"
"9690","GO:0035881",0.00148422561139991,"amacrine cell differentiation","BP"
"13411","GO:0051569",0.0014865368289391,"regulation of histone H3-K4 methylation","BP"
"13409","GO:0051567",0.00149392082510656,"histone H3-K9 methylation","BP"
"4804","GO:0010847",0.00151129752394971,"regulation of chromatin assembly","BP"
"13291","GO:0051310",0.00154204127495172,"metaphase plate congression","BP"
"6595","GO:0021602",0.00154324972464819,"cranial nerve morphogenesis","BP"
"13528","GO:0051785",0.00163718980838899,"positive regulation of nuclear division","BP"
"3633","GO:0007548",0.00167148763842991,"sex differentiation","BP"
"8159","GO:0032465",0.0018821943580044,"regulation of cytokinesis","BP"
"16723","GO:0090308",0.00188615003869327,"regulation of DNA methylation-dependent heterochromatin assembly","BP"
"11422","GO:0045137",0.00190064434346068,"development of primary sexual characteristics","BP"
"9084","GO:0034501",0.00190563560203057,"protein localization to kinetochore","BP"
"9146","GO:0034655",0.00190885497966408,"nucleobase-containing compound catabolic process","BP"
"11396","GO:0045091",0.00191189351442063,"regulation of single stranded viral RNA replication via double stranded DNA intermediate","BP"
"3593","GO:0007411",0.00193551353023186,"axon guidance","BP"
"14700","GO:0061549",0.00198879459265761,"sympathetic ganglion development","BP"
"2890","GO:0006268",0.00201542112996402,"DNA unwinding involved in DNA replication","BP"
"17126","GO:0097485",0.00213601868958111,"neuron projection guidance","BP"
"6597","GO:0021604",0.00220742441735293,"cranial nerve structural organization","BP"
