ENTREZID	ENSEMBL	SYMBOL	SRR1554534	SRR1554535	SRR1554568	SRR1554561	SRR1554567	SRR1554536	SRR1554541	SRR1554539	SRR1554538	SRR1554537
100113378	NA	SNORD119	0	3	8	0	12	2	3	0	8	14
100113379	ENSG00000238886	SNORD121A	0	0	3	0	3	0	2	0	2	0
100113380	ENSG00000239127	SNORD125	1	18	28	9	17	5	19	3	24	29
100113381	ENSG00000238862	SNORD19B	8	17	119	7	133	5	115	26	129	101
100113382	ENSG00000238531	SNORD105B	0	2	0	0	0	0	2	0	5	0
100113384	NA	SNORD123	0	0	0	0	2	0	4	2	6	0
100113385	NA	NA	0	2	49	0	28	0	26	9	29	50
100113386	ENSG00000280213	UCKL1-AS1	23	63	236	209	270	10	542	50	928	446
100113389	ENSG00000239043	SNORD127	2	7	20	12	40	1	33	7	36	35
100113390	NA	NA	6	16	99	31	82	0	99	18	197	95
100113391	NA	SNORD126	0	0	0	0	0	0	0	0	3	0
100113392	ENSG00000271852	SNORD11B	0	0	4	0	4	0	6	0	3	6
100113393	ENSG00000222365	SNORD12B	0	0	55	0	21	3	27	10	38	19
100113402	NA	SNORD111B	0	0	0	0	0	0	0	0	4	0
100113407	ENSG00000205269	TMEM170B	3234	11218	15673	5723	20553	2972	33417	14266	22795	19622
100124412	ENSG00000248893	FAM138E	0	0	0	0	0	0	5	0	7	0
100124412	ENSG00000288464	FAM138E	0	0	0	0	0	0	5	0	7	0
100124516	NA	SNORD58C	37	76	181	39	233	5	142	25	185	157
100124533	NA	SCARNA27	2	4	46	3	38	3	41	17	52	28
100124534	ENSG00000239183	SNORA84	8	4	8	4	5	0	7	2	4	0
100124535	ENSG00000207016	SNORA36C	0	0	0	0	0	0	1	0	0	0
100124536	ENSG00000200394	SNORA38B	0	0	9	0	8	0	20	0	37	15
100124537	ENSG00000206937	SNORA70B	0	6	0	0	4	0	3	0	0	0
100124538	ENSG00000207268	SNORA70C	0	0	3	0	2	0	0	0	2	0
100124539	ENSG00000221102	SNORA11B	0	0	0	0	0	0	0	0	0	0
100124540	ENSG00000221459	SNORA11C	0	0	0	0	0	0	0	0	0	0
100124541	ENSG00000221475	SNORA11D	1	0	9	1	6	0	3	0	5	2
100124542	NA	NA	2	0	5	1	3	0	2	0	5	6
100124692	NA	NA	8	8	70	9	35	4	20	4	48	16
100124700	ENSG00000228630	HOTAIR	0	0	0	0	0	0	0	0	0	0
100125288	ENSG00000220201	ZGLP1	572	800	1475	1160	1981	298	2282	424	2300	2511
100125556	ENSG00000171084	FAM86JP	244	212	74	307	157	50	217	312	154	93
100126270	ENSG00000268066	FMR1-AS1	12	6	35	13	30	0	47	9	77	38
100126296	ENSG00000216031	MIR298	0	0	1	0	0	0	2	0	2	1
100126297	ENSG00000215957	MIR300	0	3	0	0	0	0	0	0	0	0
100126299	ENSG00000278815	VTRNA2-1	0	0	0	0	0	0	0	0	0	0
100126300	NA	NA	0	0	0	0	0	0	0	0	0	0
100126301	ENSG00000212013	MIR509-2	0	0	0	0	0	0	0	0	0	0
100126302	ENSG00000216001	MIR450B	0	0	0	0	0	0	1	0	0	3
100126303	ENSG00000216075	MIR890	0	0	0	0	0	0	0	0	0	0
100126304	ENSG00000216064	MIR891B	0	0	0	0	0	0	0	0	0	0
100126306	ENSG00000216005	MIR888	0	0	0	0	0	0	0	0	0	0
100126307	ENSG00000216098	MIR892B	0	2	0	1	0	0	0	1	0	0
100126308	ENSG00000216179	MIR541	0	0	2	1	0	0	1	0	0	0
100126309	ENSG00000216069	MIR875	0	0	0	0	0	0	0	2	0	1
100126310	ENSG00000215966	MIR876	2	0	0	0	0	0	0	0	0	0
100126311	ENSG00000284386	MIR147B	0	0	0	0	0	0	0	0	0	0
100126313	ENSG00000266297	MIR744	0	0	1	0	4	0	1	8	4	3
100126314	ENSG00000216101	MIR877	0	0	0	0	0	0	0	0	0	0
100126315	ENSG00000283159	MIR665	0	0	0	4	0	0	0	0	0	0
100126316	ENSG00000215939	MIR873	0	0	0	0	0	0	0	0	1	0
100126317	ENSG00000212027	MIR374B	6	5	23	15	38	0	43	18	78	45
100126318	ENSG00000212102	MIR301B	0	0	0	0	0	0	0	0	0	0
100126319	ENSG00000211520	MIR216B	0	0	0	0	0	0	0	0	0	0
100126320	ENSG00000216192	MIR920	0	0	1	1	1	0	0	0	2	0
100126321	ENSG00000284146	MIR922	0	0	0	0	0	0	0	0	0	0
100126323	ENSG00000283615	MIR924	0	0	0	0	0	0	0	0	0	0
100126324	ENSG00000216060	MIR934	0	0	0	0	0	0	0	0	0	0
100126325	ENSG00000284583	MIR935	0	0	0	0	0	0	0	0	0	0
100126326	ENSG00000283788	MIR936	0	0	0	0	0	0	0	0	0	0
100126327	ENSG00000216035	MIR938	0	0	1	0	0	0	4	0	1	0
100126328	ENSG00000284346	MIR940	18	14	17	51	38	9	28	22	26	26
100126329	ENSG00000283206	MIR941-1	0	0	1	1	0	0	1	0	0	2
100126331	ENSG00000215930	MIR942	0	0	2	2	0	0	0	0	0	3
100126332	ENSG00000284587	MIR943	9	5	8	8	12	0	8	5	4	13
100126333	ENSG00000211997	MIR708	0	1	1	1	0	0	1	0	0	7
100126334	ENSG00000216135	MIR885	0	0	0	0	0	0	1	0	0	0
100126335	ENSG00000212040	MIR543	0	0	0	0	2	0	0	0	0	0
100126336	ENSG00000215991	MIR208B	0	0	0	0	0	0	0	0	0	0
100126337	ENSG00000212014	MIR509-3	0	0	0	0	0	0	0	0	0	0
100126338	ENSG00000284224	MIR937	0	0	1	0	3	0	2	0	0	0
100126339	ENSG00000216141	MIR941-2	0	0	0	0	0	0	0	0	0	0
100126340	ENSG00000216058	MIR944	0	0	0	0	0	0	0	0	0	0
100126341	ENSG00000216056	MIR891A	0	0	0	0	0	0	0	0	0	0
100126342	ENSG00000215943	MIR892A	0	0	0	0	0	0	0	1	0	0
100126343	ENSG00000216009	MIR874	0	0	0	1	0	0	1	0	1	0
100126344	NA	NA	0	0	0	0	0	0	0	0	0	0
100126345	ENSG00000216099	MIR889	0	0	0	0	0	0	0	0	0	0
100126346	ENSG00000215938	MIR190B	0	0	0	0	0	0	0	0	0	0
100126347	ENSG00000216077	MIR887	0	0	6	0	0	2	0	0	5	6
100126348	ENSG00000211575	MIR760	72	12	24	59	30	0	130	20	36	65
100126349	ENSG00000215952	MIR921	0	0	0	1	0	0	0	0	2	0
100126350	ENSG00000215973	MIR933	0	0	2	0	0	0	2	0	6	2
100126351	ENSG00000284310	MIR939	2	7	15	2	12	4	6	3	19	13
100126351	ENSG00000284918	MIR939	2	7	15	2	12	4	6	3	19	13
100126354	ENSG00000215961	MIR297	0	0	0	0	0	0	0	0	0	0
100126355	ENSG00000199130	MIR365A	0	0	0	0	0	0	0	0	0	0
100126356	ENSG00000283978	MIR365B	0	0	0	0	0	0	0	0	0	0
100126447	NA	LOC100126447	0	0	0	0	0	0	0	0	0	0
100126582	NA	NA	24	7	85	81	49	10	98	35	169	112
100126693	NA	LINC00322	0	0	18	4	4	38	0	2	4	4
100126780	NA	SNAR-G1	0	0	0	0	0	0	0	0	0	0
100126781	NA	SNAR-F	0	0	0	0	0	0	0	1	0	0
100126784	NA	LOC100126784	2321	2245	598	2884	1312	223	1733	2495	1342	1425
100126791	ENSG00000235947	EGOT	0	0	0	4	4	0	12	12	2	4
100126793	ENSG00000240288	GHRLOS	37	36	85	89	95	53	147	56	102	113
100126798	NA	SNAR-A1	0	0	0	0	0	0	0	0	0	0
100126799	NA	SNAR-A2	0	0	0	0	0	0	0	0	0	0
100126800	NA	SNAR-A12	0	0	0	0	0	0	0	0	0	0
100127206	ENSG00000186367	MINAR2	0	20	2	0	0	0	3	7	2	5
100127885	NA	NA	2	8	0	0	5	0	4	1	4	1
100127888	ENSG00000232803	SLCO4A1-AS1	33	9	9	109	15	1	2	36	9	7
100127889	NA	NA	21	24	47	17	45	5	90	25	55	67
100127891	NA	NA	56	88	223	40	181	40	190	26	185	196
100127909	NA	NA	0	2	0	0	0	0	1	0	0	0
100127910	NA	NA	105	208	0	76	50	24	18	106	13	4
100127919	NA	LOC100127919	0	2	0	0	0	0	0	0	0	0
100127946	NA	NA	6	3	2	8	0	5	0	12	0	0
100127950	ENSG00000181211	HECW1-IT1	15	1	29	9	43	0	54	4	108	21
100127961	NA	NA	10	4	13	11	18	4	10	6	15	3
100127974	NA	NA	46	30	123	45	195	14	167	43	208	155
100127983	ENSG00000253250	C8orf88	9	67	320	32	245	80	183	55	294	270
100127987	NA	NA	2	7	7	4	23	4	15	15	19	16
100128002	NA	LOC100128002	9	12	23	22	41	3	10	11	24	1
100128003	NA	NA	557	409	1727	634	1961	190	2533	377	2888	2249
100128023	NA	DPPA2P3	0	0	0	0	0	0	0	0	0	0
100128028	NA	NA	24	56	150	42	41	6	53	24	25	14
100128031	NA	NA	0	0	0	0	0	0	0	0	0	0
100128054	ENSG00000268894	PLCE1-AS1	11	17	231	5	166	21	30	13	390	238
100128055	ENSG00000245112	SMARCA5-AS1	15	2	9	8	6	0	10	9	14	5
100128059	ENSG00000250274	LOC100128059	0	4	0	4	4	0	0	1	0	0
100128064	NA	NA	50	41	11	92	1	6	14	15	7	5
100128071	ENSG00000225828	FAM229A	218	212	211	302	275	206	190	102	262	310
100128076	NA	LOC100128076	24	38	8	92	27	9	0	14	3	10
100128077	NA	NA	9	9	24	10	21	0	36	14	16	6
100128081	NA	JAZF1-AS1	294	652	15	342	41	43	33	495	93	47
100128095	NA	NA	43	29	44	95	22	3	219	134	51	128
100128098	ENSG00000204832	ST8SIA6-AS1	1	7	3	13	3	5	12	2	7	0
100128105	NA	NA	0	4	5	0	18	0	22	2	13	0
100128124	ENSG00000235994	HGC6.3	4	4	1	13	28	14	17	31	8	4
100128130	NA	NA	30	23	1	8	14	12	17	21	33	4
100128131	NA	NA	72	79	1919	165	1996	84	828	60	2445	1352
100128139	ENSG00000269364	LINC01233	0	0	2	3	6	1	0	8	6	0
100128155	NA	NA	4	0	12	0	31	0	36	1	98	31
100128160	NA	NA	0	0	0	0	0	0	4	0	0	0
100128164	ENSG00000239219	LOC100128164	129	102	123	168	193	56	238	101	196	156
100128174	ENSG00000254700	DEFB131C	0	0	0	0	0	0	0	0	0	0
100128191	ENSG00000257167	TMPO-AS1	42	77	620	61	534	18	140	30	394	325
100128239	ENSG00000204241	LINC02731	470	853	218	977	241	177	200	910	232	248
100128242	NA	NA	33	4	449	54	367	0	382	28	863	744
100128252	ENSG00000166770	ZNF667-AS1	2740	4235	5245	3061	6468	1076	7084	3598	6291	4530
100128253	NA	LOC100128253	391	225	33	769	64	16	73	290	19	16
100128254	NA	FAM90A28P	0	0	0	0	3	0	1	0	0	0
100128256	NA	NA	0	0	0	0	0	0	0	0	1	0
100128260	ENSG00000185203	WASIR1	0	0	0	0	0	0	0	0	0	0
100128262	NA	TNK2-AS1	12	17	22	32	21	4	34	18	81	41
100128264	ENSG00000220575	HTR5A-AS1	1217	2066	9	2078	107	52	70	2963	19	22
100128270	NA	NA	0	0	0	0	0	0	0	0	0	0
100128276	NA	LOC100128276	63	91	37	152	43	32	45	23	67	71
100128278	NA	NA	0	0	4	0	16	0	7	0	26	3
100128285	NA	DNM1P35	473	416	423	423	1341	88	1213	397	937	618
100128288	NA	LOC100128288	264	633	4755	349	5675	195	4935	256	6626	5304
100128292	NA	DLG5-AS1	187	179	485	183	530	61	534	266	461	623
100128300	NA	NA	481	623	2536	821	3317	186	4726	774	4052	2596
100128302	NA	SDHCP2	74	82	54	108	50	32	100	58	60	76
100128304	NA	NA	78	65	142	127	68	8	169	68	34	216
100128310	ENSG00000179253	LOC100128310	10	0	28	8	155	0	121	24	108	16
100128326	NA	NA	1	7	3	2	6	5	0	5	6	11
100128327	ENSG00000173626	TRAPPC3L	6	8	0	12	8	0	12	15	4	0
100128334	ENSG00000235713	LOC100128334	0	0	3	3	13	0	6	9	6	5
100128338	NA	NA	72	142	172	194	330	46	429	122	233	215
100128340	NA	LOC100128340	49	61	77	76	106	15	245	81	115	134
100128342	NA	NA	152	99	353	223	374	29	429	216	523	435
100128343	NA	NA	0	8	41	19	51	1	63	3	127	43
100128346	NA	NA	47	35	90	84	197	16	144	52	181	203
100128355	ENSG00000182888	RPS27AP20	0	1	10	1	4	0	18	0	14	5
100128361	NA	LOC100128361	182	112	776	304	542	52	795	203	924	796
100128364	NA	NA	797	1019	2638	1255	5876	114	5498	645	5328	6089
100128371	NA	NA	0	0	10	6	6	0	10	4	13	6
100128374	NA	NA	90	45	13	171	87	33	13	101	33	8
100128378	NA	LINC00696	4	0	5	0	0	0	5	0	4	5
100128385	ENSG00000225684	FAM225B	14	26	0	13	0	10	0	13	0	0
100128398	ENSG00000176593	LOC100128398	819	900	4725	1387	6138	287	6508	905	6550	3698
100128406	NA	NA	38	44	117	21	256	21	201	9	166	104
100128460	NA	NA	72	141	89	100	88	27	112	71	158	88
100128482	NA	NA	2	0	6	4	4	0	6	0	2	13
100128496	NA	SCP2D1-AS1	0	0	3	0	0	0	1	0	0	0
100128505	ENSG00000229105	ASTN2-AS1	1	4	4	0	8	0	14	0	14	0
100128508	NA	NA	7	3	2	2	9	0	23	4	25	14
100128511	ENSG00000231920	NEBL-AS1	57	78	0	71	74	53	22	88	35	4
100128542	NA	BET1P1	4	12	5	2	5	6	7	5	5	4
100128553	ENSG00000225932	CTAGE4	4	15	12	0	14	1	13	8	10	9
100128553	ENSG00000288370	CTAGE4	4	15	12	0	14	1	13	8	10	9
100128554	ENSG00000214043	LINC02347	78	213	6	138	113	9	149	198	55	14
100128563	NA	NA	11	12	4	12	39	2	41	22	60	16
100128569	ENSG00000183397	C19orf71	694	469	1170	785	1185	96	1250	373	1309	1560
100128573	NA	NA	4	14	39	19	21	2	36	18	41	62
100128574	NA	ARMCX3-AS1	19	9	105	45	82	29	140	23	115	143
100128590	ENSG00000227028	SLC8A1-AS1	13	11	46	29	126	0	270	83	205	95
100128593	NA	LOC100128593	1	26	0	34	3	6	10	12	9	0
100128596	NA	NDUFB9P2	224	239	34	174	48	51	103	150	49	48
100128640	ENSG00000229589	ACVR2B-AS1	57	105	791	196	732	32	409	101	771	811
100128644	NA	NA	93	40	166	199	65	16	91	132	148	107
100128653	NA	LOC100128653	155	106	316	418	218	54	224	182	244	206
100128655	ENSG00000220556	LOC100128655	0	0	0	0	0	0	0	0	0	0
100128675	ENSG00000227392	HPN-AS1	300	482	0	168	4	42	14	215	3	0
100128726	NA	NA	22	25	36	26	74	12	47	33	74	41
100128731	ENSG00000228474	OST4	1647	2537	3988	1700	5857	2193	6704	1755	6338	5336
100128737	NA	NA	125	211	283	183	326	116	378	194	307	368
100128750	ENSG00000254109	RBPMS-AS1	7	5	0	10	7	14	0	0	0	2
100128751	NA	NA	0	4	6	2	0	0	8	0	0	0
100128770	ENSG00000205890	LOC100128770	25	57	51	72	96	6	70	60	73	62
100128782	ENSG00000175611	LINC00476	1031	1565	2806	2057	2562	551	3574	1457	1746	1968
100128785	NA	NA	12	27	14	14	57	8	151	14	139	175
100128788	ENSG00000205913	SRRM2-AS1	51	17	38	21	66	6	26	13	42	7
100128811	ENSG00000233642	GPR158-AS1	101	145	4	152	14	7	14	91	0	9
100128816	NA	NA	24	18	72	16	47	10	111	34	98	82
100128818	NA	LPEQ6126	4	0	7	12	8	0	10	2	62	4
100128822	ENSG00000261455	LINC01003	575	1023	2325	969	2524	348	3399	666	1497	1397
100128840	NA	NA	4	1	0	0	4	0	6	0	0	0
100128881	ENSG00000261373	VPS9D1-AS1	338	305	613	601	864	38	536	246	1151	860
100128890	ENSG00000215374	FAM66B	228	59	289	394	122	21	220	111	254	138
100128893	ENSG00000266010	GATA6-AS1	0	0	0	0	0	0	0	6	0	0
100128905	ENSG00000260868	LINC01960	0	0	4	0	19	0	2	0	12	5
100128908	ENSG00000283654	LMLN2	25	49	2	11	4	7	4	37	12	0
100128909	NA	NA	4	13	2	15	2	0	43	4	11	4
100128927	ENSG00000179627	ZBTB42	151	77	439	132	408	87	108	56	421	167
100128935	NA	NA	0	0	0	0	0	0	0	0	0	0
100128946	ENSG00000205632	LINC01310	321	267	79	208	206	40	80	280	176	108
100128977	NA	MAPT-AS1	11	14	4	13	15	1	31	7	35	21
100128979	NA	NA	74	98	206	115	159	12	239	87	146	80
100128988	NA	LOC100128988	0	0	4	0	1	0	0	2	0	3
100128997	NA	NA	1627	2366	163	1970	259	228	277	1237	230	221
100128998	NA	C20orf181	1	3	0	2	3	6	4	4	0	0
100129027	NA	PCBP3-AS1	4	4	9	0	15	0	5	0	4	0
100129033	NA	NA	13	21	50	18	42	4	53	15	61	45
100129034	NA	LOC100129034	5778	5801	12120	6701	11110	4491	10831	4054	14473	18391
100129046	NA	BCAR3-AS1	4	8	15	8	14	0	11	2	4	16
100129055	NA	CCNYL4	5	7	6	11	21	0	22	8	7	0
100129060	ENSG00000235016	SEMA3F-AS1	230	300	1139	281	1167	62	835	229	1181	873
100129066	ENSG00000237372	UNQ6494	0	0	16	0	12	0	4	2	1	3
100129075	ENSG00000186615	KTN1-AS1	42	51	133	68	118	30	162	47	136	82
100129083	NA	SIGLEC10-AS1	1	0	8	0	4	0	2	0	9	11
100129085	NA	SELENOKP1	136	175	79	108	106	88	155	79	233	68
100129094	ENSG00000215811	BTNL10	0	3	7	0	0	0	4	0	10	14
