"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"2928","GO:0006323",2.01655721658284e-12,1,71,155,"DNA packaging","BP"
"18038","GO:0140097",6.18528530861910e-12,1,81,191,"catalytic activity, acting on DNA","MF"
"18007","GO:0140014",8.65412762846999e-12,1,102,264,"mitotic nuclear division","BP"
"10714","GO:0043167",1.11543218646854e-11,1,1262,5228,"ion binding","MF"
"33","GO:0000070",1.19288051273627e-11,1,68,154,"mitotic sister chromatid segregation","BP"
"11139","GO:0044237",1.94631072628896e-11,1,1923,8766,"cellular metabolic process","BP"
"273","GO:0000776",2.53445054983005e-11,1,61,134,"kinetochore","CC"
"10758","GO:0043231",2.5942064186868e-11,1,2003,9173,"intracellular membrane-bounded organelle","CC"
"3373","GO:0006974",5.42744358428277e-11,1,234,794,"cellular response to DNA damage stimulus","BP"
"423","GO:0001227",6.35167048613482e-11,1,102,271,"DNA-binding transcription repressor activity, RNA polymerase II-specific","MF"
"2930","GO:0006333",7.37582311270092e-11,1,64,143,"chromatin assembly or disassembly","BP"
"416","GO:0001217",8.36796358416484e-11,1,102,272,"DNA-binding transcription repressor activity","MF"
"12502","GO:0048285",1.01549107403077e-10,1,139,409,"organelle fission","BP"
"2924","GO:0006310",2.96015031128132e-10,1,95,255,"DNA recombination","BP"
"14934","GO:0065007",6.79477055045249e-10,1,2064,9301,"biological regulation","BP"
"4615","GO:0010564",9.88065515016602e-10,1,199,663,"regulation of cell cycle process","BP"
"7639","GO:0031497",1.16531926509592e-09,0.99999999966931,54,120,"chromatin assembly","BP"
"2631","GO:0005819",1.22911463076295e-09,1,118,341,"spindle","CC"
"10756","GO:0043229",1.69846614941702e-09,1,2252,10467,"intracellular organelle","CC"
"1525","GO:0003678",2.09884525998449e-09,0.99999999952511,41,76,"DNA helicase activity","MF"
"3756","GO:0008152",2.21097147610848e-09,1,2014,9318,"metabolic process","BP"
"3724","GO:0008094",3.05778460240616e-09,0.999999999122935,51,104,"DNA-dependent ATPase activity","MF"
"11297","GO:0044770",3.61816783163086e-09,1,169,566,"cell cycle phase transition","BP"
"415","GO:0001216",5.41197172602387e-09,1,125,361,"DNA-binding transcription activator activity","MF"
"3428","GO:0007062",5.95994337129588e-09,0.999999998838418,32,57,"sister chromatid cohesion","BP"
"6215","GO:0019083",6.58441283913588e-09,0.999999997632613,61,170,"viral transcription","BP"
"424","GO:0001228",6.61959108364162e-09,1,124,358,"DNA-binding transcription activator activity, RNA polymerase II-specific","MF"
"34","GO:0000075",7.76535890338571e-09,1,76,204,"cell cycle checkpoint","BP"
"109","GO:0000226",7.91416404085657e-09,1,170,535,"microtubule cytoskeleton organization","BP"
"11299","GO:0044772",8.15731997434137e-09,1,159,531,"mitotic cell cycle phase transition","BP"
"7390","GO:0031055",8.27925562520181e-09,0.999999999037712,21,33,"chromatin remodeling at centromere","BP"
"2916","GO:0006302",8.39849856132147e-09,1,86,235,"double-strand break repair","BP"
"9089","GO:0034508",1.12406841214889e-08,0.999999998277205,25,42,"centromere complex assembly","BP"
"11308","GO:0044786",1.13660918351931e-08,0.999999997561726,33,63,"cell cycle DNA replication","BP"
"1856","GO:0004386",1.57057802498128e-08,0.999999994212111,65,151,"helicase activity","MF"
"16362","GO:0072686",1.66140155915893e-08,0.999999994573999,53,119,"mitotic spindle","CC"
"19129","GO:1903046",1.92027976005976e-08,0.999999993148274,59,144,"meiotic cell cycle process","BP"
"16555","GO:0090068",2.29921149398427e-08,1,88,246,"positive regulation of cell cycle process","BP"
"15928","GO:0071824",2.71108773512388e-08,1,73,201,"protein-DNA complex subunit organization","BP"
"13636","GO:0051983",3.47004619189633e-08,0.999999989537433,45,99,"regulation of chromosome segregation","BP"
"19023","GO:1902850",3.73036924125223e-08,0.999999986700304,57,136,"microtubule cytoskeleton organization involved in mitosis","BP"
"6212","GO:0019080",3.98422693706209e-08,0.999999984225247,64,187,"viral gene expression","BP"
"2893","GO:0006271",4.36966357517728e-08,0.999999997381965,15,19,"DNA strand elongation involved in DNA replication","BP"
"6831","GO:0022626",4.49202907700928e-08,0.999999987022789,38,103,"cytosolic ribosome","CC"
"3441","GO:0007093",4.51902545920412e-08,0.999999983018701,60,155,"mitotic cell cycle checkpoint","BP"
"8098","GO:0032392",4.85225446444587e-08,0.999999984054831,50,113,"DNA geometric change","BP"
"13296","GO:0051321",6.67643466929107e-08,0.99999997226199,71,188,"meiotic cell cycle","BP"
"8636","GO:0033260",6.77288342657255e-08,0.999999985166215,30,58,"nuclear DNA replication","BP"
"3142","GO:0006614",6.85146953386387e-08,0.999999980558024,36,98,"SRP-dependent cotranslational protein targeting to membrane","BP"
"1548","GO:0003729",7.77364922156859e-08,1,92,268,"mRNA binding","MF"
"343","GO:0000956",7.84050036945046e-08,1,67,200,"nuclear-transcribed mRNA catabolic process","BP"
"277","GO:0000780",9.33047821280944e-08,0.99999998845315,19,30,"condensed nuclear chromosome, centromeric region","CC"
"18006","GO:0140013",1.34841536753851e-07,0.999999951198599,53,131,"meiotic nuclear division","BP"
"6007","GO:0017116",1.56592336712251e-07,0.999999990114004,14,18,"single-stranded DNA helicase activity","MF"
"8853","GO:0034080",1.69543582307726e-07,0.999999978976701,18,29,"CENP-A containing nucleosome assembly","BP"
"14749","GO:0061641",1.69543582307726e-07,0.999999978976701,18,29,"CENP-A containing chromatin organization","BP"
"14889","GO:0061982",1.83988255240634e-07,0.999999944233607,40,91,"meiosis I cell cycle process","BP"
"9876","GO:0036297",2.66267398195391e-07,0.999999940677178,28,54,"interstrand cross-link repair","BP"
"93","GO:0000184",2.99141042505143e-07,0.999999899275605,42,118,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP"
"5729","GO:0016569",3.02413962222256e-07,1,137,435,"covalent chromatin modification","BP"
"14932","GO:0065004",3.06634859023049e-07,0.999999874447211,61,168,"protein-DNA complex assembly","BP"
"257","GO:0000725",3.58592219056713e-07,0.999999863978782,54,134,"recombinational repair","BP"
"3141","GO:0006613",3.65270053809653e-07,0.999999887055822,36,102,"cotranslational protein targeting to membrane","BP"
"10654","GO:0043044",3.82369132127093e-07,0.999999895126378,34,72,"ATP-dependent chromatin remodeling","BP"
"11419","GO:0045132",4.26101401886144e-07,0.999999887956511,32,67,"meiotic chromosome segregation","BP"
"6826","GO:0022616",4.92389298924145e-07,0.999999943819652,17,25,"DNA strand elongation","BP"
"11684","GO:0045787",4.98755401544827e-07,1,105,328,"positive regulation of cell cycle","BP"
"10343","GO:0042393",6.69957862783204e-07,1,76,210,"histone binding","MF"
"8535","GO:0033046",6.72639505893128e-07,0.999999870075264,23,42,"negative regulation of sister chromatid segregation","BP"
"13638","GO:0051985",6.72639505893128e-07,0.999999870075264,23,42,"negative regulation of chromosome segregation","BP"
"3422","GO:0007051",7.03417601440811e-07,0.999999696931414,65,173,"spindle organization","BP"
"333","GO:0000922",7.45142650860556e-07,0.999999692605441,59,156,"spindle pole","CC"
"13501","GO:0051726",9.056942460015e-07,0.999999626603971,277,1054,"regulation of cell cycle","BP"
"5978","GO:0017056",9.22511365502753e-07,0.999999889134713,17,25,"structural constituent of nuclear pore","MF"
"2970","GO:0006396",9.2875409496857e-07,0.999999623500517,233,933,"RNA processing","BP"
"3450","GO:0007127",1.01372956829667e-06,0.999999681604666,37,86,"meiosis I","BP"
"9199","GO:0034728",1.038312013933e-06,0.999999632781865,44,108,"nucleosome organization","BP"
"4636","GO:0010605",1.15969324300934e-06,0.99999932651221,586,2422,"negative regulation of macromolecule metabolic process","BP"
"3423","GO:0007052",1.19295773693473e-06,0.999999565966948,46,112,"mitotic spindle organization","BP"
"2933","GO:0006336",1.23820387833861e-06,0.999999768177193,21,39,"DNA replication-independent nucleosome assembly","BP"
"11321","GO:0044815",1.25866742035812e-06,0.999999776234572,21,36,"DNA packaging complex","CC"
"3571","GO:0007346",1.29773842101402e-06,0.999999498595121,162,573,"regulation of mitotic cell cycle","BP"
"7672","GO:0031570",1.32165088491678e-06,0.99999945533942,56,150,"DNA integrity checkpoint","BP"
"256","GO:0000724",1.39200523835391e-06,0.999999451562185,52,132,"double-strand break repair via homologous recombination","BP"
"290","GO:0000794",1.39350852190984e-06,0.999999565740021,36,82,"condensed nuclear chromosome","CC"
"11330","GO:0044839",1.63639652407967e-06,0.999999446449158,82,256,"cell cycle G2/M phase transition","BP"
"275","GO:0000778",1.79766709269465e-06,0.999999859332172,12,17,"condensed nuclear chromosome kinetochore","CC"
"2931","GO:0006334",1.81209618567446e-06,0.999999456970109,33,76,"nucleosome assembly","BP"
"8193","GO:0032508",2.16933299218271e-06,0.99999921332314,44,105,"DNA duplex unwinding","BP"
"2892","GO:0006270",2.22781874898401e-06,0.999999584962424,20,37,"DNA replication initiation","BP"
"9197","GO:0034724",2.49575438520704e-06,0.999999501629913,21,40,"DNA replication-independent nucleosome organization","BP"
"3438","GO:0007088",2.59960367551892e-06,0.999998918733648,54,145,"regulation of mitotic nuclear division","BP"
"11765","GO:0045935",2.77329080791949e-06,0.999998148400587,384,1496,"positive regulation of nucleobase-containing compound metabolic process","BP"
"11366","GO:0045023",2.84360777077122e-06,0.999999418865651,22,40,"G0 to G1 transition","BP"
"21489","GO:2001251",2.87991040865285e-06,0.999998839913084,51,131,"negative regulation of chromosome organization","BP"
"13526","GO:0051783",2.88315564313671e-06,0.999998751463762,58,159,"regulation of nuclear division","BP"
"17219","GO:0097711",2.88967969538473e-06,0.999998997113789,40,94,"ciliary basal body-plasma membrane docking","BP"
"11376","GO:0045047",3.07466414318568e-06,0.999998915137672,37,113,"protein targeting to ER","BP"
"259","GO:0000727",3.2890722564615e-06,0.999999860208384,10,12,"double-strand break repair via break-induced replication","BP"
"17345","GO:0098727",3.58008919920161e-06,0.999998495445621,55,140,"maintenance of cell number","BP"
"9030","GO:0034401",3.58492986158958e-06,0.999998726808254,41,96,"chromatin organization involved in regulation of transcription","BP"
"6109","GO:0018205",3.68993729572269e-06,0.999998243458869,112,361,"peptidyl-lysine modification","BP"
"7519","GO:0031298",3.69928376746034e-06,1,8,8,"replication fork protection complex","CC"
"8537","GO:0033048",4.34258157956235e-06,0.999999097360222,21,40,"negative regulation of mitotic sister chromatid segregation","BP"
"10419","GO:0042555",4.55755918231891e-06,0.999999798099855,10,12,"MCM complex","CC"
"5277","GO:0015630",4.63893888434559e-06,0.999996875141147,298,1127,"microtubule cytoskeleton","CC"
"6440","GO:0019827",4.92418912675331e-06,0.999997919994306,54,138,"stem cell population maintenance","BP"
"6830","GO:0022625",5.33909782081661e-06,0.99999873158078,21,54,"cytosolic large ribosomal subunit","CC"
"5730","GO:0016570",5.63608671097076e-06,0.999996935547315,130,424,"histone modification","BP"
"8533","GO:0033044",5.91445024809711e-06,0.999996955787842,102,323,"regulation of chromosome organization","BP"
"8534","GO:0033045",6.14911758311036e-06,0.999997983814319,34,80,"regulation of sister chromatid segregation","BP"
"5758","GO:0016604",6.24791718310083e-06,0.999996131086655,198,716,"nuclear body","CC"
"13286","GO:0051304",6.38988391716607e-06,0.999997812316707,36,87,"chromosome separation","BP"
"2","GO:0000003",6.68705977680269e-06,0.999995520357808,274,1044,"reproduction","BP"
"18994","GO:1902749",7.2280608531982e-06,0.999996705557589,66,202,"regulation of cell cycle G2/M phase transition","BP"
"4608","GO:0010557",7.94430249814164e-06,0.999994273023897,375,1473,"positive regulation of macromolecule biosynthetic process","BP"
"15123","GO:0070316",8.55420283398278e-06,0.999998156688257,21,39,"regulation of G0 to G1 transition","BP"
"6813","GO:0022414",9.01251400750479e-06,0.99999382403409,273,1043,"reproductive process","BP"
"3463","GO:0007156",1.00017957733318e-05,0.999995431472281,61,154,"homophilic cell adhesion via plasma membrane adhesion molecules","BP"
"2629","GO:0005815",1.03001387718152e-05,0.999993281723011,197,714,"microtubule organizing center","CC"
"16216","GO:0072331",1.19320154535151e-05,0.999993959742847,78,247,"signal transduction by p53 class mediator","BP"
"2530","GO:0005657",1.30193012487127e-05,0.99999588744503,30,70,"replication fork","CC"
"20469","GO:1905819",1.33825168557586e-05,0.999997186252095,19,37,"negative regulation of chromosome separation","BP"
"21334","GO:2000816",1.33825168557586e-05,0.999997186252095,19,37,"negative regulation of mitotic sister chromatid separation","BP"
"5492","GO:0016071",1.36391612794426e-05,0.999991019871746,197,782,"mRNA metabolic process","BP"
"8536","GO:0033047",1.40952004743654e-05,0.999995546021613,30,69,"regulation of mitotic sister chromatid segregation","BP"
"39","GO:0000082",1.41453978026821e-05,0.999992899038041,75,234,"G1/S transition of mitotic cell cycle","BP"
"11713","GO:0045839",1.42731259403019e-05,0.999996337019617,23,49,"negative regulation of mitotic nuclear division","BP"
"2985","GO:0006413",1.50917134463999e-05,0.999993038680419,54,180,"translational initiation","BP"
"16337","GO:0072599",1.52670672265252e-05,0.999994135610795,37,117,"establishment of protein localization to endoplasmic reticulum","BP"
"11331","GO:0044843",1.5558732644035e-05,0.999992031640022,79,250,"cell cycle G1/S phase transition","BP"
"11734","GO:0045893",1.5645766278642e-05,0.999988772419906,312,1195,"positive regulation of transcription, DNA-templated","BP"
"340","GO:0000940",1.58377509235425e-05,0.999998952828896,10,13,"condensed chromosome outer kinetochore","CC"
"13527","GO:0051784",1.58574110082926e-05,0.999995742504369,24,52,"negative regulation of nuclear division","BP"
"7044","GO:0030261",1.64165141513001e-05,0.99999665742517,19,34,"chromosome condensation","BP"
"41","GO:0000086",1.81725114941466e-05,0.999990818639724,74,237,"G2/M transition of mitotic cell cycle","BP"
"10159","GO:0040029",1.82206553573227e-05,0.999991848866681,53,144,"regulation of gene expression, epigenetic","BP"
"16722","GO:0090307",1.85961854995447e-05,0.999994507963162,27,59,"mitotic spindle assembly","BP"
"18700","GO:1901987",1.9417248253913e-05,0.999988601267252,117,413,"regulation of cell cycle phase transition","BP"
"3599","GO:0007420",2.0399448208057e-05,0.999986500020226,191,660,"brain development","BP"
"15124","GO:0070317",2.09959110078724e-05,0.999995559379617,19,35,"negative regulation of G0 to G1 transition","BP"
"9229","GO:0034968",2.16300340131864e-05,0.999991571278074,41,98,"histone lysine methylation","BP"
"2627","GO:0005813",2.37253964361425e-05,0.999985002476734,153,539,"centrosome","CC"
"11301","GO:0044774",2.54612734050789e-05,0.999990158009478,38,100,"mitotic DNA integrity checkpoint","BP"
"2564","GO:0005720",2.71040128962104e-05,0.99999482821948,17,30,"nuclear heterochromatin","CC"
"19345","GO:1903508",2.78743444339767e-05,0.999979504295594,325,1262,"positive regulation of nucleic acid-templated transcription","BP"
"4884","GO:0010948",2.79720559095251e-05,0.999984644172967,87,296,"negative regulation of cell cycle process","BP"
"4437","GO:0009892",2.93493675744536e-05,0.999976628490623,619,2623,"negative regulation of metabolic process","BP"
"18967","GO:1902680",2.95671271537782e-05,0.999978240077784,325,1263,"positive regulation of RNA biosynthetic process","BP"
"3447","GO:0007099",2.96232571158325e-05,0.999993665807603,19,34,"centriole replication","BP"
"5676","GO:0016458",3.21859601461715e-05,0.999983579150727,70,210,"gene silencing","BP"
"13131","GO:0051052",3.3833403452827e-05,0.999980613845555,97,323,"regulation of DNA metabolic process","BP"
"5731","GO:0016571",3.42440856723525e-05,0.999985175301894,47,122,"histone methylation","BP"
"17353","GO:0098742",3.47308415336417e-05,0.999981582168365,80,230,"cell-cell adhesion via plasma-membrane adhesion molecules","BP"
"13229","GO:0051225",3.75274207262834e-05,0.999984691359557,41,106,"spindle assembly","BP"
"15046","GO:0070192",3.75757551474478e-05,0.999989661758689,23,49,"chromosome organization involved in meiotic cell cycle","BP"
"11715","GO:0045841",4.05321530629051e-05,0.999990954399439,18,36,"negative regulation of mitotic metaphase/anaphase transition","BP"
"18747","GO:1902100",4.05321530629051e-05,0.999990954399439,18,36,"negative regulation of metaphase/anaphase transition of cell cycle","BP"
"4413","GO:0009790",4.12215494627576e-05,0.999971053084688,233,846,"embryo development","BP"
"14072","GO:0060322",4.12806684724785e-05,0.999971783395469,199,699,"head development","BP"
"10764","GO:0043240",4.21588490572951e-05,0.999996328689755,10,14,"Fanconi anaemia nuclear complex","CC"
"298","GO:0000803",4.33473662882566e-05,0.999991874911224,16,28,"sex chromosome","CC"
"12590","GO:0048532",4.56777556556675e-05,0.999996524615215,10,13,"anatomical structure arrangement","BP"
"16248","GO:0072395",4.66520032890011e-05,0.999984181401335,29,71,"signal transduction involved in cell cycle checkpoint","BP"
"3453","GO:0007131",4.75673304288861e-05,0.999987607474387,21,44,"reciprocal meiotic recombination","BP"
"278","GO:0000781",5.04573127280262e-05,0.999977224058334,48,135,"chromosome, telomeric region","CC"
"13209","GO:0051172",5.41332871161719e-05,0.999957552759016,476,1953,"negative regulation of nitrogen compound metabolic process","BP"
"10901","GO:0043486",5.5208099347463e-05,0.999986344930304,19,41,"histone exchange","BP"
"7319","GO:0030900",5.55363651765574e-05,0.999967102089094,107,336,"forebrain development","BP"
"4436","GO:0009891",5.6728578467061e-05,0.999956517348144,389,1572,"positive regulation of biosynthetic process","BP"
"288","GO:0000792",5.77828332882355e-05,0.999979932015187,30,71,"heterochromatin","CC"
"19083","GO:1902969",6.1004264468832e-05,0.999993338859018,11,16,"mitotic DNA replication","BP"
"17165","GO:0097549",6.42664701413751e-05,0.999975745036695,34,83,"chromatin organization involved in negative regulation of transcription","BP"
"17256","GO:0098534",6.53681652868529e-05,0.999984549897029,19,36,"centriole assembly","BP"
"18703","GO:1901990",6.58445105322797e-05,0.999960051350785,108,385,"regulation of mitotic cell cycle phase transition","BP"
"3442","GO:0007094",6.63981881179484e-05,0.999985240864523,17,34,"mitotic spindle assembly checkpoint","BP"
